Curriculum,Literature/Writing,,,,,,,,,
Degree Plan,Literature/Writing/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,23.9999,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
9,LD LTEN / TWS 1,,,,,,4,,,1
10,LD LIT LANG 1,,,,,,5,,,1
11,LD LTEN / TWS 2,,,,,,4,,,2
12,LD LIT LANG 2,,,,,,5,,,2
1,LTEN 26,LTEN,26,,,,4,,,3
13,LD LIT LANG 3,,,,,,5,,,3
2,LTWR 8A / LTWR 8B / LTWR 8C 1,LTWR,8A,5;6,,,4,,,4
14,LD LIT LANG 4,,,,,,5,,,4
15,LD LIT LANG 5,,,,,,5,,,5
16,LTWR 8A / LTWR 8B / LTWR 8C 2,LTWR,8A,5;6,,,4,,,5
17,LD LIT LANG 6,,,,,,5,,,6
18,LTWR 8A / LTWR 8B / LTWR 8C 3,LTWR,8A,5;6,,,4,,,6
19,UD LIT ELECTIVE 1,,,,,,4,,,7
20,UD LIT LANG,,,,,,4,,,7
21,UD LTWR 1,,,,,,4,,,8
22,UD LIT ELECTIVE 2,,,,,,4,,,8
23,UD LTWR 2,,,,,,4,,,9
24,UD LIT ELECTIVE 3,,,,,,4,,,9
3,LTWR 14X,LTWR,14X,,,,4,,,10
25,UD LTWR 3,,,,,,4,,,10
26,UD LTWR 4,,,,,,4,,,11
27,UD LTWR 5,,,,,,4,,,11
28,UD LTWR 6,,,,,,4,,,12
29,UD LIT ELECTIVE 4,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
4,MMW 11,MMW,11,,,,4,,,1
30,GE 1,,,,,,4,,,1
5,MMW 12,MMW,12,,,,6,,,2
31,GE 2,,,,,,4,,,2
6,MMW 13,MMW,13,,,,6,,,3
32,GE 3,,,,,,4,,,3
7,MMW 14 / GE 1,MMW,14,5;6,,,4,,,4
33,GE / DEI,,,,,,4,,,4
34,MMW 14 / GE 2,MMW,14,5;6,,,4,,,5
35,ELECTIVE 1,,,,,,4,,,5
8,MMW 15,MMW,15,5;6,,,4,,,6
36,GE 4,,,,,,4,,,6
37,GE 5,,,,,,4,,,7
38,ELECTIVE 2,,,,,,2,,,7
39,GE 6,,,,,,4,,,8
40,GE 7,,,,,,4,,,9
41,ELECTIVE 3,,,,,,4,,,10
42,ELECTIVE 4,,,,,,4,,,11
43,ELECTIVE 5,,,,,,4,,,12
