Curriculum,Human Developmental Sciences,,,,,,,,,
Degree Plan,Human Developmental Sciences/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,19.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
12,LD MAJOR PREP,,,,,,4,,,1
13,LD MAJOR PREP / SOCIAL SCIENCE GE 1,,,,,,4,,,1
6,MATH 10A / 20A,MATH,10A,,,,4,,,1
14,LD MAJOR PREP / SOCIAL SCIENCE GE 2,,,,,,4,,,2
15,LD MAJOR PREP / BIOLOGY GE,,,,,,4,,,2
16,LD MAJOR PREP / NATURAL SCIENCE GE,,,,,,4,,,3
1,HDS 1,HDS,1,,,,4,,,4
17,HDS CORE COURSE 1,,,,,,4,,,5
18,HDS CORE COURSE 2,,,,,,4,,,5
19,HDS CORE COURSE 3,,,,,,4,,,6
20,HDS CORE COURSE 4,,,,,,4,,,6
21,HDS DEVELOPMENT COURSE 1,,,,,,4,,,7
2,HDS 60,HDS,60,,,,4,,,7
22,HDS DEVELOPMENT COURSE 2,,,,,,4,,,8
23,HDS DEVELOPMENT COURSE 3,,,,,,4,,,8
24,HDS DEVELOPMENT COURSE 4,,,,,,4,,,9
3,HDS 181,HDS,181,1;2,,,6,,,9
4,HDS 191,HDS,191,1;3,,,6,,,10
25,HDS DEVELOPMENT COURSE 5,,,,,,4,,,11
5,HDS 150,HDS,150,3,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,HUM 1,HUM,1,,,,6,,,2
8,HUM 2,HUM,2,,,,6,,,3
26,MATH GE 1,,,,,,4,,,3
9,HUM 3,HUM,3,7,,,4,,,4
27,DEI,,,,,,4,,,4
28,CHEMISTRY GE,,,,,,4,,,4
10,HUM 4,HUM,4,,,,4,,,5
29,PHYSICS GE,,,,,,4,,,5
11,HUM 5,HUM,5,,,,4,,,6
30,MATH GE 2,,,,,,4,,,6
31,FINE ARTS GE,,,,,,4,,,7
32,LANGUAGE 1,,,,,,5,,,7
33,LANGUAGE 2,,,,,,5,,,8
34,LANGUAGE 3,,,,,,5,,,9
35,UD ELECTIVE 1,,,,,,4,,,10
36,LANGUAGE 4,,,,,,5,,,10
37,NATURAL SCIENCE GE,,,,,,4,,,11
38,UD ELECTIVE 2,,,,,,4,,,11
39,ELECTIVE 1,,,,,,4,,,11
40,ELECTIVE 2,,,,,,4,,,12
41,ELECTIVE / CCER,,,,,,4,,,12
42,AHI / ELECTIVE,,,,,,4,,,12
