Curriculum,General Physics/Secondary Education
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,40.0899
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 20A,MATH,20A,,,,4,,
2,CHEM 6A,CHEM,6A,,,,4,,
3,MATH 18,MATH,18,,,,4,,
4,MATH 20B,MATH,20B,1,,,4,,
5,CHEM 6B,CHEM,6B,2;1,,,4,,
6,PHYS 4A,PHYS,4A,1,,,4,,
7,MATH 20C,MATH,20C,4,,,4,,
8,CHEM 6C,CHEM,6C,5,,,4,,
9,PHYS 4B,PHYS,4B,6;4,,,4,,
10,PHYS 4C,PHYS,4C,6;9;7;3,,,4,,
11,MATH 20E,MATH,20E,3;7,,,4,,
12,CHEM 7L,CHEM,7L,5,,,4,,
13,PHYS 4D,PHYS,4D,6;10;9;1;4;7;11;3,,,4,,
14,MATH 20D,MATH,20D,7,,,4,,
15,PHYS 2CL,PHYS,2CL,6;10,,,2,,
16,PHYS 4E,PHYS,4E,6;9;10;13;1;4;7;14;11;3,,,4,,
17,SIO 50,SIO,50,,,,4,,
18,PHYS 2DL,PHYS,2DL,15,,,2,,
19,PHYS 100A,PHYS,100A,6;10;9;13;1;4;7;14;11;3,,,4,,
20,PHYS 110A,PHYS,110A,6;10;9;13;1;4;7;14;11;3,,,4,,
21,PHYS 105A,PHYS,105A,10;9;13;16;1;4;7;14;11;3,,,4,,
22,PHYS 100B,PHYS,100B,19;1;4;7;14;11;3,,,4,,
23,PHYS 110B,PHYS,110B,20;1;4;7;14;11;3,,,4,,
29,CHEM UD ELECTIVE 1,,,,,,4,,
24,PHYS 120,PHYS,120,6;10;9;15,,,5,,
25,PHYS 130A,PHYS,130A,16;19;20,,,4,,
30,CHEM UD ELECTIVE 2,,,,,,4,,
26,EDS 129A,EDS,129A,,,,4,,
27,EDS 129B,EDS,129B,26,,,4,,
28,EDS 129C,EDS,129C,27,,,4,,
