Curriculum,Human Development,,,,,,,,,
Degree Plan,Human Development/ Warren,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,19.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
8,LD SOC SCI 1,,,,,,4,,,1
9,LD FORMAL SKILLS 1,,,,,,4,,,1
10,LD BIOLOGY SCI 1,,,,,,4,,,2
11,LD FORMAL SKILLS 2,,,,,,4,,,2
12,LD SOC SCI 2,,,,,,4,,,3
13,LD BIOLOGY SCI 2,,,,,,4,,,3
1,HDP 1,HDP,1,,,,4,,,4
14,LD STATISTICS,,,,,,4,,,4
15,CORE COURSE 1,,,,,,4,,,5
16,CORE COURSE 2,,,,,,4,,,5
17,CORE COURSE 3,,,,,,4,,,6
18,CORE COURSE 4,,,,,,4,,,6
19,DEVELOPMENT 1,,,,,,4,,,7
20,DEVELOPMENT 2,,,,,,4,,,7
21,DEVELOPMENT 3,,,,,,4,,,8
2,HDP 181,HDP,181,1,,,6,,,8
22,DEVELOPMENT 4,,,,,,4,,,9
3,HDP 191,HDP,191,1;2,,,6,,,9
23,DEVELOPMENT 5,,,,,,4,,,10
4,HDP 194A,HDP,194A,,,,4,,,10
24,METHODS ELECTIVE,,,,,,4,,,11
5,HDP 194B,HDP,194B,,,,4,,,11
7,HDP 150,HDP,150,,,,4,,,12
6,HDP 194C,HDP,194C,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
25,GE 1,,,,,,4,,,1
26,GE 2,,,,,,4,,,1
27,GE 3,,,,,,4,,,2
28,GE 4,,,,,,4,,,2
29,GE 5,,,,,,4,,,3
30,GE 6,,,,,,4,,,3
31,GE 7,,,,,,4,,,4
32,GE 8,,,,,,4,,,4
33,GE 9,,,,,,4,,,5
34,GE 10,,,,,,4,,,5
35,GE / DEI,,,,,,4,,,6
36,GE 11,,,,,,4,,,6
37,GE 12,,,,,,4,,,7
38,GE 13,,,,,,4,,,7
39,GE 14,,,,,,4,,,8
40,GE 15,,,,,,4,,,9
41,ELECTIVE 1,,,,,,4,,,10
42,ELECTIVE 2,,,,,,4,,,10
43,ELECTIVE 3,,,,,,4,,,11
44,ELECTIVE 4,,,,,,4,,,12
