Curriculum,Business Economics,,,,,,,,,
Degree Plan,Business Economics/ Warren,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,52.1399,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A (OR 10A),MATH,20A,,,,4,,,1
2,ECON 1,ECON,1,,,,4,,,1
3,MATH 20B (OR 10B),MATH,20B,1,,,4,,,2
4,ECON 3,ECON,3,2,,,4,,,2
5,MATH 20C (OR 10C),MATH,20C,3,,,4,,,3
7,ECON / POLI 5,POLI,5,,,,4,,,3
6,MGT 16,MGT,16,,,,4,,,3
8,ECON 100A,ECON,100A,2;5,,,4,,,4
9,ECON 120A,ECON,120A,2;5,,,4,,,4
10,ECON 100B,ECON,100B,8,,,4,,,5
11,ECON 120B,ECON,120B,9,,,4,,,5
13,ECON 110B,ECON,110B,2;4;5,,,4,,,6
12,MGT 45,MGT,45,,,,4,,,6
14,MGT 71,MGT,71,,,,4,,,6
24,GE / DEI,,,,,,4,,,6
15,MGT 100,MGT,100,11,,,4,,,7
16,MGT 164,MGT,164,,,,4,,,7
17,MGT 162 / 162R,MGT,162,,,,4,,,8
25,UD ELECTIVE 1,,,,,,4,,,8
18,MGT 180,MGT,180,8,,,4,,,9
26,UD ELECTIVE 2,,,,,,4,,,10
19,MGT 160,MGT,160,9;1,,,4,,,11
27,UD ELECTIVE 3,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
20,WCWP 10A,WCWP,10A,,,,4,,,1
28,GE 1,,,,,,4,,,1
21,WCWP 10B,WCWP,10B,20,,,4,,,2
29,GE 2,,,,,,4,,,2
22,PHIL / POLI 27,POLI,27,20;21,,,4,,,3
23,PHIL / POLI 28,POLI,28,22,,,4,,,4
30,GE 3,,,,,,4,,,4
31,ELECTIVE 1,,,,,,4,,,5
32,GE 4,,,,,,4,,,5
33,ELECTIVE 2,,,,,,4,,,7
34,GE 5,,,,,,4,,,7
35,ELECTIVE 3,,,,,,4,,,8
36,GE 6,,,,,,4,,,8
37,ELECTIVE 4,,,,,,4,,,9
38,GE 7,,,,,,4,,,9
39,GE 8,,,,,,4,,,9
40,ELECTIVE 5,,,,,,4,,,10
41,GE 9,,,,,,4,,,10
42,ELECTIVE 6,,,,,,4,,,11
43,GE 10,,,,,,4,,,11
44,ELECTIVE 7,,,,,,4,,,12
45,GE 11,,,,,,4,,,12
