Curriculum,Anthropology with Concentration in Climate Change and Human Solutions
Degree Plan,Anthropology with Concentration in Climate Change and Human Solutions/ ERC
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,45.0299
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ANTH 101,ANTH,101,,,,4,,,7
8,UD CONCENTRATION COURSE 1,,,,,,4,,,7
2,ANTH 102,ANTH,102,,,,4,,,8
9,UD CONCENTRATION COURSE 2,,,,,,4,,,8
3,ANTH 103,ANTH,103,,,,4,,,9
10,UD CONCENTRATION COURSE 3,,,,,,4,,,9
11,UD CONCENTRATION COURSE 4,,,,,,4,,,10
12,UD ANTH ELECTIVE COURSE 1,,,,,,4,,,10
13,UD ANTH ELECTIVE COURSE 2,,,,,,4,,,11
14,UD ANTH ELECTIVE COURSE 3,,,,,,4,,,11
15,UD ANTH ELECTIVE COURSE 4,,,,,,4,,,12
16,UD ANTH ELECTIVE COURSE 5,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
4,MMW 11,MMW,11,,,,4,,,1
17,GE 1,,,,,,4,,,1
18,GE 2,,,,,,4,,,1
5,MMW 12 1,MMW,12,,,,6,,,2
19,GE 3,,,,,,4,,,2
20,GE 4,,,,,,4,,,2
21,MMW 12 2,MMW,12,,,,6,,,3
22,GE 5,,,,,,4,,,3
23,GE 6,,,,,,4,,,3
6,MMW 14 / GE 1,MMW,14,5,,,4,,,4
24,GE 7,,,,,,4,,,4
25,ELECTIVE 1,,,,,,4,,,4
26,ELECTIVE 2,,,,,,4,,,4
27,MMW 14 / GE 2,MMW,14,5,,,4,,,5
28,GE 8,,,,,,4,,,5
29,ELECTIVE 3,,,,,,4,,,5
30,ELECTIVE 4,,,,,,4,,,5
7,MMW 15,MMW,15,5,,,4,,,6
31,GE 9,,,,,,4,,,6
32,GE / DEI,,,,,,4,,,6
33,ELECTIVE 5,,,,,,4,,,6
34,GE 10,,,,,,4,,,7
35,ELECTIVE 6,,,,,,4,,,7
36,UD ELECTIVE,,,,,,4,,,8
37,ELECTIVE 7,,,,,,4,,,8
38,ELECTIVE 8,,,,,,4,,,9
39,ELECTIVE 9,,,,,,4,,,9
40,ELECTIVE 10,,,,,,4,,,10
41,ELECTIVE 11,,,,,,4,,,10
42,ELECTIVE 12,,,,,,4,,,11
43,ELECTIVE 13,,,,,,4,,,11
44,ELECTIVE 14,,,,,,4,,,12
