Curriculum,Bioengineering: Bioinformatics
Degree Plan,Bioengineering: Bioinformatics/ Sixth
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,26.1103
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,MATH 20A,MATH,20A,,,,4,,,1
1,CHEM 6A,CHEM,6A,,,,4,,,1
3,CSE 11,CSE,11,,,,4,,,1
5,MATH 20B,MATH,20B,2,,,4,,,2
4,CHEM 6B,CHEM,6B,1;2,,,4,,,2
6,CSE 12,CSE,12,3,,,4,,,2
7,BENG 1,BENG,1,,,,2,,,2
9,MATH 20C,MATH,20C,5,,,4,,,3
10,PHYS 2A,PHYS,2A,2;2,,,4,,,3
8,BILD 1,BILD,1,,,,4,,,3
12,MATH 20D,MATH,20D,9,,,4,,,4
13,PHYS 2B,PHYS,2B,10;5,,,4,,,4
14,CSE 21,CSE,21,,,,4,,,4
11,BILD 3,BILD,3,,,,4,,,4
18,BENG 120,BENG,120,1;4,,,4,,,5
16,MATH 18 / 31AH,MATH,18,,,,4,,,5
17,PHYS 2C,PHYS,2C,10;9,,,4,,,5
15,BILD 4,BILD,4,,,,2,,,5
20,BENG 102,BENG,102,18,,,4,,,6
19,BENG 100,BENG,100,7;16;9,,,4,,,6
22,CSE 185,CSE,185,3;6;9;8;15,,,4,,,6
21,CSE 100,CSE,100,14;6,,,4,,,6
24,CSE 101,CSE,101,14;6,,,4,,,7
25,BIMM 100,BIMM,100,8;15;18;18,,,4,,,7
23,MATH 20E / 31CH,MATH,20E,16;9,,,4,,,7
26,BENG 181,BENG,181,21;24;25,,,4,,,8
27,BENG 130,BENG,130,4;2;5;10;13;12;17,,,4,,,8
28,BICD 100,BICD,100,8;11,,,4,,,8
29,BENG 187A,BENG,187A,,,,1,,,9
30,BENG 182,BENG,182,21,,,4,,,9
31,BENG 187B,BENG,187B,29,,,1,,,10
42,TECHNICAL ELECTIVE 1,,,,,,4,,,10
32,BENG 183,BENG,183,25,,,4,,,10
43,BENG DE COURSE (ASSIGNED) 1,,,,,,3,,,10
33,BENG 187C,BENG,187C,31,,,1,,,11
44,BENG DE COURSE (ASSIGNED) 2,,,,,,3,,,11
34,MATH 186,MATH,186,9,,,4,,,11
35,BENG 168,BENG,168,8;19,,,4,,,11
36,BENG 187D,BENG,187D,33,,,1,,,12
45,TECHNICAL ELECTIVE 2,,,,,,4,,,12
37,BENG 125,BENG,125,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
38,CAT 1,CAT,1,,,,4,,,1
39,CAT 2,CAT,2,38,,,6,,,2
40,CAT 3,CAT,3,39,,,6,,,3
46,GE 1,,,,,,4,,,7
47,GE 2,,,,,,4,,,8
48,GE / DEI,,,,,,4,,,9
49,GE 3,,,,,,4,,,9
41,CAT 125,CAT,125,,,,4,,,10
50,GE 4,,,,,,4,,,11
51,GE 5,,,,,,4,,,12
