Curriculum,Education Sciences,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,13.0101,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
4,EDS LD,,,,,,2,,
5,EDS UD ELECTIVE 1,,,,,,4,,
6,EDS UD 1,,,,,,4,,
1,EDS 103,EDS,103,,,,4,,
7,EDS UD 2,,,,,,4,,
2,EDS 102,EDS,102,,,,4,,
8,EDS UD 3,,,,,,4,,
9,EDS UD: INTRO TO LEARNING CONTEXTS,,,,,,4,,
10,EDS UD ELECTIVE 2,,,,,,4,,
3,EDS 139 1,EDS,139,,,,2,,
11,EDS CAPSTONE 1,,,,,,4,,
12,EDS UD ELECTIVE 3,,,,,,4,,
13,EDS 139 2,EDS,139,,,,2,,
14,EDS CAPSTONE 2,,,,,,4,,
15,EDS 139 3,EDS,139,,,,2,,
