Curriculum,Business Economics,,,,,,,,,
Degree Plan,Business Economics/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,52.1399,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,ECON 1,ECON,1,,,,4,,,1
1,MATH 20A (OR 10A),MATH,20A,,,,4,,,1
4,ECON 3,ECON,3,2,,,4,,,2
3,MATH 20B (OR 10B),MATH,20B,1,,,4,,,2
6,ECON / POLI 5,POLI,5,,,,4,,,3
5,MATH 20C (OR 10C),MATH,20C,3,,,4,,,3
7,MGT 16,MGT,16,,,,4,,,3
8,ECON 100A,ECON,100A,2;5,,,4,,,4
9,ECON 120A,ECON,120A,2;5,,,4,,,4
10,ECON 100B,ECON,100B,8,,,4,,,5
11,ECON 120B,ECON,120B,9,,,4,,,5
12,MGT 180,MGT,180,8,,,4,,,5
14,MGT 45,MGT,45,,,,4,,,6
13,ECON 110B,ECON,110B,2;4;5,,,4,,,6
15,MGT 71,MGT,71,,,,4,,,6
24,UD ELECTIVE 1,,,,,,4,,,7
16,MGT 160,MGT,160,9;1,,,4,,,7
17,MGT 162 / 162R,MGT,162,,,,4,,,8
18,MGT 164,MGT,164,,,,4,,,9
25,UD ELECTIVE 2,,,,,,4,,,10
19,MGT 100,MGT,100,9,,,4,,,11
26,UD ELECTIVE 3,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
20,CAT 1,CAT,1,,,,4,,,1
27,GE 1,,,,,,4,,,1
21,CAT 2,CAT,2,20,,,6,,,2
28,GE 2,,,,,,4,,,2
22,CAT 3,CAT,3,21,,,6,,,3
29,GE / DEI,,,,,,4,,,4
30,ELECTIVE 1,,,,,,4,,,4
31,GE 3,,,,,,4,,,5
32,ELECTIVE 2,,,,,,4,,,6
33,GE 4,,,,,,4,,,7
34,ELECTIVE 3,,,,,,4,,,7
35,GE 5,,,,,,4,,,8
36,ELECTIVE 4,,,,,,4,,,8
37,ELECTIVE 5,,,,,,4,,,8
38,GE 6,,,,,,4,,,9
23,CAT 125 / EXPERIENTIAL LEARNING 1,CAT,125,,,,4,,,9
39,GE 7,,,,,,4,,,10
40,ELECTIVE 6,,,,,,4,,,10
41,CAT 125 / EXPERIENTIAL LEARNING 2,CAT,125,,,,4,,,11
42,ELECTIVE 7,,,,,,4,,,11
43,ELECTIVE 8,,,,,,4,,,12
44,ELECTIVE 9,,,,,,4,,,12
