Curriculum,Anthropology (Concentration in Sociocultural Anthropology),,,,,,,,,
Degree Plan,Anthropology (Concentration in Sociocultural Anthropology)/ Eighth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,45.0201,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ANTH 101,ANTH,101,,,,4,,,7
8,ANSC CONCENTRATION 1,,,,,,4,,,7
2,ANTH 102,ANTH,102,,,,4,,,8
9,ANSC CONCENTRATION 2,,,,,,4,,,8
3,ANTH 103,ANTH,103,,,,4,,,9
10,ANSC CONCENTRATION 3,,,,,,4,,,9
11,ANSC CONCENTRATION 4,,,,,,4,,,10
12,ANTH UD ELECTIVE 1,,,,,,4,,,10
13,ANTH UD ELECTIVE 2,,,,,,4,,,11
14,ANTH UD ELECTIVE 3,,,,,,4,,,11
15,ANTH UD ELECTIVE 4,,,,,,4,,,12
16,ANTH UD ELECTIVE 5,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
17,BREADTH GE 1,,,,,,4,,,1
18,BREADTH GE 2,,,,,,4,,,1
19,DEI,,,,,,4,,,1
4,CCE 1,CCE,1,,,,4,,,2
20,BREADTH GE 3,,,,,,4,,,2
21,BREADTH GE 4,,,,,,4,,,2
22,ELECTIVE 1,,,,,,4,,,2
23,BREADTH GE 5,,,,,,4,,,3
24,BREADTH GE 6,,,,,,4,,,3
25,ELECTIVE 2,,,,,,4,,,3
26,ELECTIVE 3,,,,,,4,,,3
5,CCE 2,CCE,2,4,,,4,,,4
27,BREADTH GE 7,,,,,,4,,,4
28,ELECTIVE 4,,,,,,4,,,4
29,ELECTIVE 5,,,,,,4,,,4
30,BREADTH GE 8,,,,,,4,,,5
31,BREADTH GE 9,,,,,,4,,,5
32,ELECTIVE 6,,,,,,4,,,5
33,ELECTIVE 7,,,,,,4,,,5
6,CCE 3,CCE,3,5,,,4,,,6
34,ELECTIVE 8,,,,,,4,,,6
35,ELECTIVE 9,,,,,,4,,,6
36,ELECTIVE 10,,,,,,4,,,6
37,ELECTIVE 11,,,,,,4,,,7
38,ELECTIVE 12,,,,,,4,,,7
39,ELECTIVE 13,,,,,,4,,,8
40,ELECTIVE 14,,,,,,4,,,8
7,CCE 120,CCE,120,,,,4,,,9
41,ELECTIVE 15,,,,,,4,,,10
42,ELECTIVE 16,,,,,,4,,,10
43,UD ELECTIVE 1,,,,,,4,,,11
44,ELECTIVE 17,,,,,,4,,,11
45,UD ELECTIVE 2,,,,,,4,,,12
