Curriculum,"Ecology, Behavior and Evolution",,,,,,,,,
Degree Plan,"Ecology, Behavior and Evolution/ Sixth",,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,26.1399,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,BILD 4,BILD,4,,,,2,,,1
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
3,CHEM 6A,CHEM,6A,,,,4,,,1
6,BILD 3,BILD,3,,,,4,,,2
4,MATH 10B / 20B,MATH,10B,1,,,4,,,2
5,CHEM 6B,CHEM,6B,3;1,,,4,,,2
7,MATH 11&11L,MATH,11,4,,,5,,,3
8,BILD 1,BILD,1,3,5,,4,,,3
9,CHEM 6C,CHEM,6C,5,,,4,,,3
11,BIEB 100,BIEB,100,6;1;4,,,4,,,4
10,BILD 2,BILD,2,8,,,4,,,4
12,PHYS 1A,PHYS,1A,1,,,3,,,4
13,PHYS 1AL,PHYS,1AL,1,,,2,,,4
14,BIEB 150,BIEB,150,6;8,,,4,,,5
15,PHYS 1B,PHYS,1B,4;12;13,,,3,,,5
16,PHYS 1BL,PHYS,1BL,12;13;4,,,2,,,5
25,UD BIEB CORE LAB,,,,,,4,,,6
17,PHYS 1C,PHYS,1C,7;15;16,,,3,,,6
18,PHYS 1CL,PHYS,1CL,15;16;7,,,2,,,6
19,BIEB 102,BIEB,102,6,,,4,,,7
26,UD BIEB CORE 1,,,,,,4,,,7
20,BICD 100,BICD,100,8,,,4,,,8
27,UD BIEB CORE 2,,,,,,4,,,8
28,UD BIOLOGY LAB,,,,,,4,,,9
29,UD BIEB CORE 3,,,,,,4,,,9
30,UD BIEB CORE 4,,,,,,4,,,10
31,UD BIOLOGY ELECTIVE 1,,,,,,4,,,10
32,UD BIOLOGY ELECTIVE 2,,,,,,4,,,11
33,UD BIOLOGY ELECTIVE 3,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
21,CAT 1,CAT,1,,,,4,,,1
22,CAT 2,CAT,2,21,,,6,,,2
23,CAT 3,CAT,3,22,,,6,,,3
34,GE 1,,,,,,4,,,4
35,GE / DEI,,,,,,4,,,5
36,GE 2,,,,,,4,,,6
24,CAT 125,CAT,125,,,,4,,,7
37,GE 3,,,,,,4,,,7
38,GE 4,,,,,,4,,,8
39,ELECTIVE 1,,,,,,4,,,8
40,GE 5,,,,,,4,,,9
41,GE 6,,,,,,4,,,9
42,ELECTIVE 2,,,,,,4,,,10
43,ELECTIVE 3,,,,,,2,,,10
44,ELECTIVE 4,,,,,,4,,,11
45,ELECTIVE 5,,,,,,4,,,11
46,ELECTIVE 6,,,,,,4,,,12
47,ELECTIVE 7,,,,,,4,,,12
