Curriculum,Computer Science,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 20A,MATH,20A,,,,4,,
2,CSE 8A,CSE,8A,,,,4,,
3,MATH 20B,MATH,20B,1,,,4,,
4,CSE 8B,CSE,8B,2,,,4,,
5,MATH 20C,MATH,20C,3,,,4,,
6,CSE 20,CSE,20,4,,,4,,
7,CSE 12,CSE,12,4,,,4,,
8,CSE 15L,CSE,15L,4,,,2,,
21,CSE GENERAL SCIENCE 1,,,,,,4,,
9,CSE 30,CSE,30,7;8,,,4,,
10,CSE 21,CSE,21,6,,,4,,
22,CSE GENERAL SCIENCE 2,,,,,,4,,
11,CSE 105,CSE,105,7;8;6;10,,,4,,
12,CSE 100,CSE,100,10;7;8;9,,,4,,
13,CSE 140L,CSE,140L,6;9,,,4,,
14,MATH 18,MATH,18,,,,4,,
15,CSE 140,CSE,140,6;9,,,4,,
16,CSE 110,CSE,110,12,,,2,,
17,CSE 103 (OR MATH 183 / ECON 120A / ECE 109),CSE,103,1;3;10,,,4,,
23,LEARNING / VISION / GRAPHICS,,,,,,4,,
18,CSE 101,CSE,101,12,,,4,,
19,CSE 141,CSE,141,9;15;13,,,4,,
20,CSE 141L,CSE,141L,9;15;13,,,2,,
24,SYSTEMS / NETWORKS,,,,,,4,,
25,SECURITY / CRYPTOGRAPHY,,,,,,4,,
26,LANG / DATABASES,,,,,,4,,
27,CSE ELECTIVE 1,,,,,,4,,
28,CSE ELECTIVE 2,,,,,,4,,
29,CSE ELECTIVE 3,,,,,,4,,
30,CSE ELECTIVE 4,,,,,,4,,
31,CSE ELECTIVE 5,,,,,,4,,
32,CSE ELECTIVE 6,,,,,,4,,
33,CSE ELECTIVE 7,,,,,,4,,
