Curriculum,Physics-Biophysics,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,40.0899,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 20A,MATH,20A,,,,4,,
2,CHEM 6A,CHEM,6A,,,,4,,
3,MATH 18,MATH,18,,,,4,,
4,MATH 20B,MATH,20B,1,,,4,,
5,CHEM 6B,CHEM,6B,2;1,,,4,,
6,PHYS 4A,PHYS,4A,1,,,4,,
7,MATH 20C,MATH,20C,4,,,4,,
8,CHEM 6C,CHEM,6C,5,,,4,,
9,PHYS 4B,PHYS,4B,6;4,,,4,,
10,PHYS 4C,PHYS,4C,6;9;7;3,,,4,,
11,CHEM 7L,CHEM,7L,5,,,4,,
12,MATH 20E,MATH,20E,3;7,,,4,,
13,PHYS 2CL,PHYS,2CL,6;10,,,2,,
14,PHYS 4D,PHYS,4D,6;9;10;1;4;7;12;3,,,4,,
15,BILD 1,BILD,1,2,5,,4,,
16,MATH 20D,MATH,20D,7,,,4,,
17,PHYS 2DL,PHYS,2DL,13,,,2,,
18,PHYS 4E,PHYS,4E,6;9;10;14;1;4;7;16;12;3,,,4,,
19,BILD 2,BILD,2,15,,,4,,
20,PHYS 105A,PHYS,105A,10;9;14;18;1;4;7;16;12;3,,,4,,
21,PHYS 110A,PHYS,110A,6;10;9;14;1;4;7;16;12;3,,,4,,
22,PHYS 100A,PHYS,100A,6;10;9;14;1;4;7;16;12;3,,,4,,
29,PHYS RE 1,,,,,,4,,
23,CHEM 140A,CHEM,140A,,,,4,,
24,PHYS 130A,PHYS,130A,18;22;21,,,4,,
25,PHYS 120,PHYS,120,6;10;9;13,,,5,,
26,PHYS 175,PHYS,175,22;21,,,4,,
27,PHYS 140A,PHYS,140A,24,,,4,,
30,BIOPHYSICS ELECTIVE,,,,,,4,,
28,PHYS 173,PHYS,173,25;15;11,,,4,,
31,PHYS RE 2,,,,,,4,,
