Curriculum,Physics with Specialization in Computational Physics,,,,,,,,,
Degree Plan,Physics with Specialization in Computational Physics/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0899,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,CHEM 6A,CHEM,6A,,,,4,,,1
1,MATH 20A,MATH,20A,,,,4,,,1
32,PROGRAMMING,,,,,,4,,,1
4,PHYS 4A,PHYS,4A,1,,,4,,,2
3,MATH 20B,MATH,20B,1,,,4,,,2
6,PHYS 4B,PHYS,4B,4;3,,,4,,,3
5,MATH 20C,MATH,20C,3,,,4,,,3
7,MATH 18,MATH,18,,,,4,,,3
8,MATH 20E,MATH,20E,7;5,,,4,,,4
9,PHYS 4C,PHYS,4C,4;6;5;7,,,4,,,4
10,MATH 20D,MATH,20D,5,,,4,,,5
12,PHYS 4D,PHYS,4D,4;9;6;1;3;5;8;7,,,4,,,5
11,PHYS 2CL,PHYS,2CL,4;9,,,2,,,5
14,PHYS 2DL,PHYS,2DL,11,,,2,,,6
13,PHYS 4E,PHYS,4E,4;6;9;12;1;3;5;10;8;7,,,4,,,6
16,PHYS 105A,PHYS,105A,9;6;12;13;1;3;5;10;8;7,,,4,,,7
15,PHYS 100A,PHYS,100A,4;9;6;12;1;3;5;10;8;7,,,4,,,7
17,PHYS 110A,PHYS,110A,4;9;6;12;1;3;5;10;8;7,,,4,,,7
33,PHYS RE 1,,,,,,4,,,8
18,PHYS 100B,PHYS,100B,15;1;3;5;10;8;7,,,4,,,8
19,PHYS 105B,PHYS,105B,16;1;3;5;10;8;7,,,4,,,8
34,PHYS RE 2,,,,,,4,,,9
20,PHYS 120,PHYS,120,4;9;6;11,,,5,,,9
21,PHYS 130A,PHYS,130A,13;15;17,,,4,,,9
22,PHYS 140A,PHYS,140A,21,,,4,,,10
23,PHYS 124,PHYS,124,20,,,4,,,10
24,PHYS 130B,PHYS,130B,21;18,,,4,,,10
25,PHYS 141,PHYS,141,,,,4,,,11
35,PHYS RE 3,,,,,,4,,,11
36,PHYS RE 4,,,,,,4,,,11
26,PHYS 142,PHYS,142,,,,4,,,12
37,PHYS RE 5,,,,,,4,,,12
38,PHYS RE 6,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
27,MMW 11,MMW,11,,,,4,,,1
28,MMW 12,MMW,12,,,,6,,,2
29,MMW 13,MMW,13,28,,,6,,,3
30,MMW 14 / GE 1,MMW,14,28;29,,,4,,,4
39,GE / DEI,,,,,,4,,,4
40,MMW 14 / GE 2,MMW,14,28;29,,,4,,,5
31,MMW 15,MMW,15,28;29,,,4,,,6
41,GE 1,,,,,,4,,,6
42,GE 2,,,,,,4,,,7
43,GE 3,,,,,,4,,,8
44,GE 4,,,,,,4,,,9
45,GE 5,,,,,,4,,,10
46,GE 6,,,,,,4,,,12
