Curriculum,"Ecology, Behavior and Evolution"
Degree Plan,"Ecology, Behavior and Evolution/ Warren"
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,26.1399
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,BILD 4,BILD,4,,,,2,,,1
6,BILD 3,BILD,3,,,,4,,,2
5,CHEM 6B,CHEM,6B,2;1,,,4,,,2
4,MATH 10B / 20B,MATH,10B,1,,,4,,,2
7,MATH 11,MATH,11,4,,,5,,,3
8,CHEM 6C,CHEM,6C,5,,,4,,,3
9,BILD 1,BILD,1,,,,4,,,3
10,PHYS 1A,PHYS,1A,1,,,3,,,4
11,PHYS 1AL,PHYS,1AL,1,,,2,,,4
12,BILD 2,BILD,2,9,,,4,,,4
13,PHYS 1B,PHYS,1B,4;10,,,3,,,5
14,PHYS 1BL,PHYS,1BL,4;10;11,,,2,,,5
15,BIEB 150,BIEB,150,6;9,,,4,,,5
16,BIEB 102,BIEB,102,6,,,4,,,5
17,PHYS 1C,PHYS,1C,4;13,,,3,,,6
18,PHYS 1CL,PHYS,1CL,4;13;14,,,2,,,6
19,BICD 100,BICD,100,9;6,,,4,,,6
24,GE / DEI,,,,,,4,,,6
25,UD EBE LAB,,,,,,4,,,7
26,UD EBE CORE 1,,,,,,4,,,7
27,UD BIOLOGY LAB,,,,,,4,,,8
28,UD EBE CORE 2,,,,,,4,,,8
29,UD BIOLOGY ELECTIVE 1,,,,,,4,,,9
30,UD EBE CORE 3,,,,,,4,,,9
31,UD EBE CORE 4,,,,,,4,,,10
32,UD BIOLOGY ELECTIVE 2,,,,,,4,,,11
33,UD BIOLOGY ELECTIVE 3,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
20,WCWP 10A,WCWP,10A,,,,4,,,1
21,WCWP 10B,WCWP,10B,20,,,4,,,2
22,PHIL / POLI 27,POLI,27,20;21,,,4,,,3
23,PHIL / POLI 28,POLI,28,22,,,4,,,4
34,GE 1,,,,,,4,,,4
35,GE 2,,,,,,4,,,5
36,GE 3,,,,,,4,,,6
37,GE 4,,,,,,4,,,7
38,GE 5,,,,,,4,,,7
39,GE 6,,,,,,4,,,8
40,GE 7,,,,,,4,,,8
41,GE 8,,,,,,4,,,9
42,ELECTIVE 1,,,,,,3,,,9
43,GE 9,,,,,,4,,,10
44,ELECTIVE 2,,,,,,4,,,10
45,GE 10,,,,,,4,,,11
46,ELECTIVE 3,,,,,,4,,,11
47,GE 11,,,,,,4,,,12
48,ELECTIVE 4,,,,,,4,,,12
