Curriculum,Latin American Studies with a Concentration in Mexico,,,,,,,,,
Degree Plan,Latin American Studies with a Concentration in Mexico/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,05.0107,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LISP 1A,LISP,1A,,,,2.5,,,1
2,LISP 1AX,LISP,1AX,,,,2.5,,,1
3,LISP 1B,LISP,1B,1;2,,,2.5,,,2
4,LISP 1BX,LISP,1BX,1;2,,,2.5,,,2
5,LISP 1C,LISP,1C,3;4,,,2.5,,,3
6,LISP 1CX,LISP,1CX,3;4,,,2.5,,,3
7,LTSP 2A,LTSP,2A,5;6,,,5,,,4
8,LATI 10,LATI,10,,,,4,,,4
9,LATI 50,LATI,50,,,,4,,,5
17,LATI CORE 1,,,,,,4,,,6
18,LATI UG ELECTIVE (CON IN MEXICO) 1,,,,,,4,,,7
10,LATI 170,LATI,170,,,,4,,,7
19,LATI METHOD,,,,,,4,,,8
20,LATI CORE 2,,,,,,4,,,8
11,LATI 180,LATI,180,,,,4,,,9
21,LATI CORE 3,,,,,,4,,,9
22,LATI UG ELECTIVE (CON IN MEXICO) 2,,,,,,4,,,10
23,LATI CORE 4,,,,,,4,,,10
24,LATI UG ELECTIVE (CON IN MEXICO) 3,,,,,,4,,,11
25,LATI UG ELECTIVE (CON IN MEXICO) 4,,,,,,4,,,11
26,LATI UG ELECTIVE,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
12,MMW 11,MMW,11,,,,4,,,1
27,GE 1,,,,,,4,,,1
28,GE 2,,,,,,4,,,1
13,MMW 12,MMW,12,,,,6,,,2
29,GE 3,,,,,,4,,,2
14,MMW 13,MMW,13,13,,,6,,,3
30,GE 4,,,,,,4,,,3
31,GE 5,,,,,,4,,,4
32,GE 6,,,,,,4,,,4
15,MMW 14,MMW,14,13;14,,,4,,,5
33,GE 7,,,,,,4,,,5
34,GE 8,,,,,,4,,,5
16,MMW 15,MMW,15,13;14,,,4,,,6
35,DEI,,,,,,4,,,6
36,GE 9,,,,,,4,,,6
37,ELECTIVE 1,,,,,,4,,,7
38,ELECTIVE 2,,,,,,4,,,7
39,ELECTIVE 3,,,,,,4,,,8
40,ELECTIVE 4,,,,,,4,,,9
41,ELECTIVE 5,,,,,,4,,,9
42,ELECTIVE 6,,,,,,4,,,10
43,ELECTIVE 7,,,,,,4,,,10
44,UD ELECTIVE,,,,,,4,,,11
45,ELECTIVE 8,,,,,,4,,,12
46,ELECTIVE 9,,,,,,4,,,12
