Curriculum,Physics with Specialization in Earth Science,,,,,,,,,
Degree Plan,Physics with Specialization in Earth Science/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0899,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,MATH 18,MATH,18,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,PHYS 4A,PHYS,4A,1,,,4,,,2
5,MATH 20C,MATH,20C,3,,,4,,,3
6,PHYS 4B,PHYS,4B,4;3,,,4,,,3
30,PROGRAMMING,,,,,,4,,,3
8,PHYS 4C,PHYS,4C,4;6;5;2,,,4,,,4
7,MATH 20E,MATH,20E,2;5,,,4,,,4
11,PHYS 2CL,PHYS,2CL,4;8,,,2,,,5
9,MATH 20D,MATH,20D,5,,,4,,,5
10,PHYS 4D,PHYS,4D,4;8;6;1;3;5;7;2,,,4,,,5
13,PHYS 4E,PHYS,4E,4;6;8;10;1;3;5;9;7;2,,,4,,,6
12,SIO 50,SIO,50,,,,6,,,6
15,PHYS 110A,PHYS,110A,4;6;8;10;1;3;5;9;7;2,,,4,,,7
14,PHYS 100A,PHYS,100A,4;6;8;10;1;3;5;9;7;2,,,4,,,7
16,PHYS 2DL,PHYS,2DL,11,,,2,,,7
18,PHYS 105A,PHYS,105A,8;6;10;13;1;3;5;9;7;2,,,4,,,8
17,PHYS 100B,PHYS,100B,14;1;3;5;9;7;2,,,4,,,8
19,PHYS 130A,PHYS,130A,13;14;15,,,4,,,9
20,PHYS 120,PHYS,120,4;8;6;11,,,5,,,9
22,PHYS 140A,PHYS,140A,19,,,4,,,10
31,PHYS UD RE 1,,,,,,4,,,10
21,PHYS 130B,PHYS,130B,19;17,,,4,,,10
23,SIO 103,SIO,103,5;12,,,4,,,11
32,PHYS UD RE 2,,,,,,4,,,11
33,PHYS UD LAB,,,,,,4,,,11
34,PHYS UD RE 3,,,,,,4,,,12
24,SIO 182,SIO,182,9,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
25,MMW 11,MMW,11,,,,4,,,1
35,GE 1,,,,,,4,,,1
26,MMW 12,MMW,12,,,,6,,,2
27,MMW 13,MMW,13,26,,,6,,,3
28,MMW 14 / GE 1,MMW,14,26;27,,,4,,,4
36,GE / DEI,,,,,,4,,,4
37,MMW 14 / GE 2,MMW,14,26;27,,,4,,,5
29,MMW 15,MMW,15,26;27,,,4,,,6
38,GE 2,,,,,,4,,,7
39,GE 3,,,,,,4,,,8
40,ELECTIVE 1,,,,,,1,,,8
41,GE 4,,,,,,4,,,9
42,GE 5,,,,,,4,,,9
43,ELECTIVE 2,,,,,,4,,,10
44,ELECTIVE 3,,,,,,4,,,11
45,GE 6,,,,,,4,,,12
