Curriculum,Marine Biology,,,,,,,,,
Degree Plan,Marine Biology/ Muir,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,26.1302,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,CHEM 6A,CHEM,6A,,,,4,,,1
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
3,BILD 3,BILD,3,,,,4,,,1
4,MATH 10B / 20B,MATH,10B,1,,,4,,,2
5,CHEM 6B,CHEM,6B,2;1,,,4,,,2
6,BILD 1,BILD,1,2,,,4,,,2
7,SIO 90,SIO,90,,,,1,,,2
8,MATH 10C / 20C,MATH,10C,4,,,4,,,3
9,CHEM 6C,CHEM,6C,5,,,4,,,3
10,BILD 2,BILD,2,6,,,4,,,3
11,CHEM 7L,CHEM,7L,5,,,4,,,4
12,SIO 132,SIO,132,3,,,4,,,4
13,PHYS 1A,PHYS,1A,1,,,3,,,4
14,PHYS 1AL,PHYS,1AL,1,,,2,,,4
15,SIO 134,SIO,134,3,,,4,,,5
16,PHYS 1BL,PHYS,1BL,4;13;14,,,2,,,5
17,PHYS 1B,PHYS,1B,4;13;14,,,3,,,5
19,PHYS 1CL,PHYS,1CL,8;17;16,,,2,,,6
20,PHYS 1C,PHYS,1C,8;17;16,,,3,,,6
18,BICD 100,BICD,100,6,,,4,,,6
28,UD MAJOR ELECTIVE 1,,,,,,4,,,7
21,SIO 136,SIO,136,3;12;15,,,6,,,7
22,SIO 119,SIO,119,9;20,,,4,,,8
23,SIO 187,SIO,187,3,,,4,,,8
24,SIO 139,SIO,139,,,,2,,,8
25,SIO 181,SIO,181,,,,4,,,9
29,UD MAJOR LAB ELECTIVE 1,,,,,,6,,,9
30,UD MAJOR ELECTIVE 2,,,,,,4,,,10
31,UD MAJOR LAB ELECTIVE 2,,,,,,6,,,11
32,UD MAJOR ELECTIVE 3,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
26,GE / MCWP 40,MCWP,40,,,,4,,,1
27,GE / MCWP 50,MCWP,50,26,,,4,,,2
33,GE 1,,,,,,4,,,3
34,GE 2,,,,,,4,,,4
35,GE 3,,,,,,4,,,5
36,GE 4,,,,,,4,,,5
37,DEI,,,,,,4,,,6
38,GE 5,,,,,,4,,,6
39,GE 6,,,,,,4,,,7
40,GE 7,,,,,,4,,,8
41,GE 8,,,,,,4,,,9
42,GE 9,,,,,,4,,,10
43,ELECTIVE 1,,,,,,4,,,10
44,MUIR UD ELECTIVE,,,,,,4,,,11
45,ELECTIVE 2,,,,,,4,,,11
46,ELECTIVE 3,,,,,,4,,,12
47,ELECTIVE 4,,,,,,4,,,12
