Curriculum,Human Developmental Sciences with a Specialization in Equity and Diversity
Degree Plan,Human Developmental Sciences with a Specialization in Equity and Diversity/ Revelle
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,19.0701
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
5,MATH 10A / 20A,MATH,10A,,,,4,,,1
13,LD MAJOR PREP (SOCIAL SCIENCE GE - SEE COLLEGE NOTE),,,,,,4,,,1
14,LD MAJOR PREP (BIOLOGY GE - SEE COLLEGE NOTE),,,,,,4,,,1
7,MATH 10B / 20B,MATH,10B,5,,,4,,,2
15,LD MAJOR PREP (NAT SCI GE - SEE COLLEGE NOTE),,,,,,4,,,2
16,LD MAJOR PREP,,,,,,4,,,2
1,HDS 1 (SOCIAL SCIENCE GE),HDS,1,,,,4,,,4
17,ELECTIVE 1,,,,,,4,,,4
18,HDS CORE COURSE 1,,,,,,4,,,5
19,HDS CORE COURSE 2,,,,,,4,,,5
20,HDS CORE COURSE 3,,,,,,4,,,6
21,HDS CORE COURSE 4,,,,,,4,,,6
12,HDS 60,HDS,60,,,,4,,,7
22,HDS E&D SPECIALIZATION 1,,,,,,4,,,7
23,HDS E&D SPECIALIZATION 2,,,,,,4,,,8
24,HDS DEVELOPMENT COURSE 1,,,,,,4,,,8
25,HDS E&D PRACTICUM,,,,,,6,,,9
26,HDS DEVELOPMENT COURSE 2,,,,,,4,,,9
2,HDS 181,HDS,181,1;12,,,6,,,10
27,HDS DEVELOPMENT COURSE 3,,,,,,4,,,10
3,HDS 191,HDS,191,1;2,,,6,,,11
4,HDS 150,HDS,150,2,,,4,,,12
28,ELECTIVE 2,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
6,HUM 1,HUM,1,,,,6,,,2
8,HUM 2,HUM,2,,,,6,,,3
29,MATH GE,,,,,,4,,,3
30,FINE ARTS GE,,,,,,2,,,3
9,HUM 3,HUM,3,6,,,4,,,4
31,CHEMISTRY GE,,,,,,4,,,4
10,HUM 4,HUM,4,,,,4,,,5
32,PHYSICS GE,,,,,,4,,,5
11,HUM 5,HUM,5,,,,4,,,6
33,ELECTIVE 3,,,,,,4,,,6
34,NATURAL SCIENCE GE,,,,,,4,,,7
35,LANGUAGE 1,,,,,,5,,,7
36,LANGUAGE 2,,,,,,5,,,8
37,LANGUAGE 3,,,,,,5,,,9
38,LANGUAGE 4,,,,,,5,,,10
39,DEI,,,,,,4,,,11
40,ELECTIVE 4,,,,,,4,,,11
41,UD ELECTIVE,,,,,,4,,,12
42,AHI / ELECTIVE,,,,,,4,,,12
