Curriculum,Human Developmental Sciences,,,,,,,,,
Degree Plan,Human Developmental Sciences/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,19.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
5,MATH 10A / 20A,MATH,10A,,,,4,,,1
12,LD MAJOR PREP / BIOLOGY GE,,,,,,4,,,1
13,LD MAJOR PREP / SOCIAL SCIENCE GE 1,,,,,,4,,,1
7,MATH 10B / 20B,MATH,10B,5,,,4,,,2
14,LD MAJOR PREP / NATURAL SCIENCE GE,,,,,,4,,,2
15,LD MAJOR PREP / SOCIAL SCIENCE GE 2,,,,,,4,,,3
1,HDS 1,HDS,1,,,,4,,,4
16,LD HDS STATISTICS,,,,,,4,,,4
17,HDS CORE COURSE 1,,,,,,4,,,5
18,HDS CORE COURSE 2,,,,,,4,,,5
19,HDS CORE COURSE 3,,,,,,4,,,6
20,HDS CORE COURSE 4,,,,,,4,,,6
21,HDS DEVELOPMENT COURSE 1,,,,,,4,,,7
22,HDS DEVELOPMENT COURSE 2,,,,,,4,,,8
23,HDS METHODS ELECTIVE,,,,,,4,,,8
24,HDS DEVELOPMENT COURSE 3,,,,,,4,,,9
2,HDS 181,HDS,181,1,,,6,,,9
3,HDS 191,HDS,191,1;2,,,6,,,10
25,HDS DEVELOPMENT COURSE 4,,,,,,4,,,10
26,HDS DEVELOPMENT COURSE 5,,,,,,4,,,11
4,HDS 150,HDS,150,2,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
6,HUM 1,HUM,1,,,,6,,,2
8,HUM 2,HUM,2,,,,6,,,3
27,MATH GE,,,,,,4,,,3
9,HUM 3,HUM,3,6,,,4,,,4
28,ELECTIVE 1,,,,,,4,,,4
10,HUM 4,HUM,4,,,,4,,,5
29,PHYSICS GE,,,,,,4,,,5
11,HUM 5,HUM,5,,,,4,,,6
30,NATURAL SCIENCE GE,,,,,,4,,,6
31,FINE ARTS GE,,,,,,4,,,7
32,LANGUAGE 1,,,,,,5,,,7
33,UD ELECTIVE,,,,,,4,,,8
34,LANGUAGE 2,,,,,,5,,,8
35,ELECTIVE 2,,,,,,4,,,9
36,LANGUAGE 3,,,,,,5,,,9
37,LANGUAGE 4,,,,,,5,,,10
38,CHEMISTRY GE,,,,,,4,,,11
39,ELECTIVE 3,,,,,,4,,,11
40,DEI,,,,,,4,,,12
41,ELECTIVE 4,,,,,,4,,,12
42,AHI / ELECTIVE,,,,,,4,,,12
