Curriculum,Latin American Studies,,,,,,,,,
Degree Plan,Latin American Studies/ Seventh,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,05.0107,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LISP 1A,LISP,1A,,,,2.5,,,1
2,LISP 1AX,LISP,1AX,,,,2.5,,,1
3,LISP 1B,LISP,1B,1;2,,,2.5,,,2
4,LISP 1BX,LISP,1BX,1;2,,,2.5,,,2
5,LISP 1C,LISP,1C,3;4,,,2.5,,,3
6,LISP 1CX,LISP,1CX,3;4,,,2.5,,,3
7,LATI 10,LATI,10,,,,4,,,4
8,LTSP 2A,LTSP,2A,5;6,,,5,,,4
9,LATI 50,LATI,50,,,,4,,,5
15,LATI METHOD,,,,,,4,,,7
16,LATI UD ELECTIVE 1,,,,,,4,,,7
17,LATI CORE COURSE 1,,,,,,4,,,8
18,LATI UD ELECTIVE 2,,,,,,4,,,8
19,LATI CORE COURSE 2,,,,,,4,,,9
10,LATI 180,LATI,180,,,,4,,,9
20,LATI CORE COURSE 3,,,,,,4,,,10
21,LATI UD ELECTIVE 3,,,,,,4,,,10
11,LATI 190,LATI,190,,,,4,,,11
22,LATI UD ELECTIVE 4,,,,,,4,,,11
23,LATI UD ELECTIVE 5,,,,,,4,,,12
24,LATI UD ELECTIVE 6,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
25,ALTERNATIVE 1,,,,,,4,,,1
26,ELECTIVE 1,,,,,,4,,,1
27,DEI,,,,,,4,,,1
12,SYN 1,SYN,1,,,,4,,,2
28,ALTERNATIVE 2,,,,,,4,,,2
29,ELECTIVE 2,,,,,,4,,,2
30,ALTERNATIVE 3,,,,,,4,,,3
31,ELECTIVE 3,,,,,,4,,,3
32,ELECTIVE 4,,,,,,4,,,3
13,SYN 2,SYN,2,12,,,4,,,4
33,ELECTIVE 5,,,,,,4,,,4
34,ALTERNATIVE 4,,,,,,4,,,5
35,ELECTIVE 6,,,,,,4,,,5
36,ELECTIVE 7,,,,,,4,,,5
37,ALTERNATIVE 5,,,,,,4,,,6
38,ALTERNATIVE 6,,,,,,4,,,6
39,ELECTIVE 8,,,,,,4,,,6
40,ELECTIVE 9,,,,,,4,,,6
14,SYN 100,SYN,100,12;13,,,4,,,7
41,ELECTIVE 10,,,,,,4,,,7
42,ELECTIVE 11,,,,,,4,,,8
43,ELECTIVE 12,,,,,,4,,,8
44,ELECTIVE 13,,,,,,4,,,9
45,ELECTIVE 14,,,,,,4,,,10
46,UD ELECTIVE 1,,,,,,4,,,11
47,UD ELECTIVE 2,,,,,,4,,,12
