Curriculum,International Studies-Economics
Degree Plan,International Studies-Economics/ ERC
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,30.2001
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
14,LANGUAGE 1,,,,,,5,,,1
2,MATH 10B / 20B,MATH,10B,1,,,4,,,2
15,LANGUAGE 2,,,,,,5,,,2
3,MATH 10C / 20C,MATH,10C,2,,,4,,,3
16,LANGUAGE 3,,,,,,5,,,3
17,LANGUAGE 4,,,,,,5,,,4
4,ECON 1,ECON,1,,,,4,,,4
5,ECON 2,ECON,2,4,,,4,,,5
6,INTL 101 / 102 1,INTL,101,9,,,4,,,5
7,ECON 3,ECON,3,4,,,4,,,6
18,INTL 101 / 102 2,INTL,101,9,,,4,,,6
19,EAP / OAP (RECOMMENDED),,,,,,16,,,7
20,DF1 - ECONOMICS,,,,,,4,,,8
21,IE1 - INTERDISC ELECTIVE (RR1),,,,,,4,,,8
22,DF2 - ECONOMICS,,,,,,4,,,9
23,DF3 - ECONOMICS,,,,,,4,,,9
24,IE2 - INTERDISC ELECTIVE (RR2),,,,,,4,,,9
25,DF4 - ECONOMICS,,,,,,4,,,10
26,DF5 - ECONOMICS,,,,,,4,,,10
27,IE3 - INTERDISC ELECTIVE (RR3),,,,,,4,,,10
8,INTL 190,INTL,190,6,,,4,,,11
28,DF6 - ECONOMICS,,,,,,4,,,11
29,DF7 - ECONOMICS,,,,,,4,,,12
30,DF8 - ECONOMICS,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
9,MMW 11,MMW,11,,,,4,,,1
31,GE 1,,,,,,4,,,1
10,MMW 12,MMW,12,,,,6,,,2
11,MMW 13,MMW,13,10,,,6,,,3
12,MMW 14 / GE 1,MMW,14,10;11,,,4,,,4
32,GE / DEI,,,,,,4,,,4
33,MMW 14 / GE 2,MMW,14,10;11,,,4,,,5
34,GE 2,,,,,,4,,,5
13,MMW 15,MMW,15,10;11,,,4,,,6
35,GE 3,,,,,,4,,,6
36,ELECTIVE 1,,,,,,4,,,8
37,GE 4,,,,,,4,,,8
38,ELECTIVE 2,,,,,,4,,,9
39,ELECTIVE 3,,,,,,4,,,11
40,ELECTIVE 4,,,,,,4,,,12
