Curriculum,"Environmental Systems (Ecology, Behavior and Evolution)",,,,,,,,,
Degree Plan,"Environmental Systems (Ecology, Behavior and Evolution)/ Muir",,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,03.0103,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CHEM 6A,CHEM,6A,,,,4,,,1
2,MATH 10A,MATH,10A,,,,4,,,1
3,BILD 3,BILD,3,,,,4,,,1
5,CHEM 6B,CHEM,6B,1;2,,,4,,,2
4,MATH 10B,MATH,10B,2,,,4,,,2
6,BILD 1,BILD,1,,,,4,,,2
7,CHEM 6C,CHEM,6C,5,,,4,,,3
8,MATH 11,MATH,11,4,,,4,,,3
9,ECON 1,ECON,1,,,,4,,,3
12,ESYS 101,ESYS,101,3,,,4,,,4
10,PHYS 1A,PHYS,1A,2,,,3,,,4
11,PHYS 1AL,PHYS,1AL,2,,,2,,,4
13,ESYS 102,ESYS,102,2;1;10,,,4,,,5
14,PHYS 1BL,PHYS,1BL,4;10;11,,,2,,,5
15,PHYS 1B,PHYS,1B,4;10,,,3,,,5
17,ESYS 103,ESYS,103,,,,4,,,6
18,PHYS 1C,PHYS,1C,4;15,,,3,,,6
16,PHYS 1CL,PHYS,1CL,4;15;14,,,2,,,6
19,POLI 160AA,POLI,160AA,,,,4,,,7
20,BICD 100,BICD,100,6;3,,,4,,,7
21,ECON 131,ECON,131,,,,4,,,7
27,ESYS MAJOR LAB ELECTIVE,,,,,,4,,,8
28,ESYS MAJOR ELECTIVE 1,,,,,,4,,,9
29,ESYS MAJOR ELECTIVE 2,,,,,,4,,,9
30,ESYS MAJOR ELECTIVE 3,,,,,,4,,,10
22,ESYS 187A,ESYS,187A,17,,,4,,,10
31,ESYS MAJOR ELECTIVE 4,,,,,,4,,,11
23,ESYS 187B,ESYS,187B,22,,,4,,,11
24,ESYS 187C,ESYS,187C,23,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
25,MCWP 40,MCWP,40,,,,4,,,1
26,MCWP 50,MCWP,50,25,,,4,,,2
32,GE 1,,,,,,4,,,3
33,CCER,,,,,,4,,,4
34,GE 2,,,,,,4,,,4
35,GE 3,,,,,,4,,,5
36,GE 4,,,,,,4,,,5
37,GE 5,,,,,,4,,,6
38,GE 6,,,,,,4,,,7
39,ELECTIVE 1,,,,,,4,,,8
40,GE 7,,,,,,4,,,8
41,GE 8,,,,,,4,,,8
42,GE 9,,,,,,4,,,9
43,DEI,,,,,,4,,,9
44,ELECTIVE 2,,,,,,4,,,10
45,ELECTIVE 3,,,,,,1,,,10
46,ELECTIVE 4,,,,,,4,,,11
47,MUIR UD ELECTIVE,,,,,,4,,,12
48,ELECTIVE 5,,,,,,4,,,12
