Curriculum,Physics,,,,,,,,,
Degree Plan,Physics/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0801,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
26,PROGRAMMING,,,,,,4,,,1
1,MATH 20A,MATH,20A,,,,4,,,1
2,MATH 18,MATH,18,,,,4,,,1
4,PHYS 4A,PHYS,4A,1,,,4,,,2
3,MATH 20B,MATH,20B,1,,,4,,,2
6,PHYS 4B,PHYS,4B,4;3,,,4,,,3
5,MATH 20C,MATH,20C,3,,,4,,,3
7,PHYS 4C,PHYS,4C,4;6;5;2,,,4,,,4
8,MATH 20E,MATH,20E,2;5,,,4,,,4
9,PHYS 4D,PHYS,4D,4;7;6;1;3;5;8;2,,,4,,,5
11,MATH 20D,MATH,20D,5,,,4,,,5
10,PHYS 2CL,PHYS,2CL,4;7,,,2,,,5
12,PHYS 4E,PHYS,4E,4;6;7;9;1;3;5;11;8;2,,,4,,,6
13,PHYS 2DL,PHYS,2DL,10,,,2,,,6
14,PHYS 100A,PHYS,100A,4;7;6;9;1;3;5;11;8;2,,,4,,,7
15,PHYS 110A,PHYS,110A,4;7;6;9;1;3;5;11;8;2,,,4,,,7
16,PHYS 100B,PHYS,100B,14;1;3;5;11;8;2,,,4,,,8
17,PHYS 105A,PHYS,105A,7;6;9;12;1;3;5;11;8;2,,,4,,,8
18,PHYS 120,PHYS,120,4;7;6;10,,,5,,,9
19,PHYS 130A,PHYS,130A,12;14;15,,,4,,,9
20,PHYS 140A,PHYS,140A,19,,,4,,,10
21,PHYS 130B,PHYS,130B,19;16,,,4,,,10
27,PHYS RE 1,,,,,,4,,,11
28,PHYS UD LAB,,,,,,4,,,11
29,PHYS PRE - GRAD 1,,,,,,4,,,11
30,PHYS RE 2,,,,,,4,,,12
31,PHYS RE 3,,,,,,4,,,12
32,PHYS PRE - GRAD 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
22,CAT 1,CAT,1,,,,4,,,1
23,CAT 2,CAT,2,22,,,6,,,2
33,GE 1,,,,,,4,,,2
24,CAT 3,CAT,3,23,,,6,,,3
34,GE 2,,,,,,4,,,3
35,GE / DEI,,,,,,4,,,4
36,GE 3,,,,,,4,,,4
37,GE 4,,,,,,4,,,5
38,GE 5,,,,,,4,,,6
39,GE 6,,,,,,4,,,6
40,ELECTIVE 1,,,,,,4,,,7
41,ELECTIVE 2,,,,,,4,,,7
42,ELECTIVE 3,,,,,,4,,,8
43,ELECTIVE 4,,,,,,4,,,8
44,ELECTIVE 5,,,,,,4,,,9
45,ELECTIVE 6,,,,,,3,,,9
25,CAT 125,CAT,125,,,,4,,,10
