Curriculum,Physics
Degree Plan,Physics/ ERC
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,40.0801
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
27,PROGRAMMING,,,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,PHYS 4A,PHYS,4A,1,,,4,,,2
5,MATH 20C,MATH,20C,3,,,4,,,3
6,PHYS 4B,PHYS,4B,4;3,,,4,,,3
8,MATH 20E,MATH,20E,2;5,,,4,,,4
7,PHYS 4C,PHYS,4C,4;6;5;2,,,4,,,4
11,MATH 20D,MATH,20D,5,,,4,,,5
9,PHYS 4D,PHYS,4D,4;7;6;1;3;5;8;2,,,4,,,5
10,PHYS 2CL,PHYS,2CL,4;7,,,2,,,5
12,PHYS 4E,PHYS,4E,4;6;7;9;1;3;5;11;8;2,,,4,,,6
13,PHYS 2DL,PHYS,2DL,10,,,2,,,6
14,PHYS 100A,PHYS,100A,4;7;6;9;1;3;5;11;8;2,,,4,,,7
15,PHYS 110A,PHYS,110A,4;7;6;9;1;3;5;11;8;2,,,4,,,7
17,PHYS 105A,PHYS,105A,7;6;9;12;1;3;5;11;8;2,,,4,,,8
16,PHYS 100B,PHYS,100B,14;1;3;5;11;8;2,,,4,,,8
19,PHYS 130A,PHYS,130A,12;14;15,,,4,,,9
18,PHYS 120,PHYS,120,4;7;6;10,,,5,,,9
20,PHYS 140A,PHYS,140A,19,,,4,,,10
21,PHYS 130B,PHYS,130B,19;16,,,4,,,10
28,PHYS RE 1,,,,,,4,,,11
29,PHYS PRE - GRAD 1,,,,,,4,,,11
30,PHYS UD LAB,,,,,,4,,,11
31,PHYS PRE - GRAD 2,,,,,,4,,,12
32,PHYS RE 2,,,,,,4,,,12
33,PHYS RE 3,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
22,MMW 11,MMW,11,,,,4,,,1
2,MATH 18,MATH,18,,,,4,,,1
23,MMW 12,MMW,12,,,,6,,,2
34,GE 1,,,,,,4,,,2
24,MMW 13,MMW,13,23,,,6,,,3
35,GE 2,,,,,,4,,,3
25,MMW 14 / GE 1,MMW,14,23;24,,,4,,,4
36,GE / DEI,,,,,,4,,,4
37,MMW 14 / GE 2,MMW,14,23;24,,,4,,,5
26,MMW 15,MMW,15,23;24,,,4,,,6
38,ELECTIVE 1,,,,,,3,,,6
39,ELECTIVE 2,,,,,,4,,,7
40,GE 3,,,,,,4,,,7
41,ELECTIVE 3,,,,,,4,,,8
42,GE 4,,,,,,4,,,8
43,ELECTIVE 4,,,,,,4,,,9
44,GE 5,,,,,,4,,,9
45,GE 6,,,,,,4,,,10
