Curriculum,Marine Biology,,,,,,,,,
Degree Plan,Marine Biology/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,26.1302,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,BILD 3,BILD,3,,,,4,,,1
4,MATH 10B / 20B,MATH,10B,1,,,4,,,2
5,CHEM 6B,CHEM,6B,2;1,,,4,,,2
6,BILD 1,BILD,1,2,,,4,,,2
7,MATH 10C / 20C,MATH,10C,4,,,4,,,3
8,CHEM 6C,CHEM,6C,5,,,4,,,3
9,BILD 2,BILD,2,6,,,4,,,3
10,SIO 90,SIO,90,,,,1,,,3
11,CHEM 7L,CHEM,7L,5,,,4,,,4
12,SIO 132,SIO,132,3,,,4,,,4
13,PHYS 1A,PHYS,1A,1,,,3,,,4
14,PHYS 1AL,PHYS,1AL,1,,,2,,,4
15,SIO 134,SIO,134,3,,,4,,,5
16,PHYS 1BL,PHYS,1BL,4;13;14,,,2,,,5
17,PHYS 1B,PHYS,1B,4;13;14,,,3,,,5
18,PHYS 1CL,PHYS,1CL,7;17;16,,,2,,,6
19,PHYS 1C,PHYS,1C,7;17;16,,,3,,,6
31,MARINE BIOLOGY ELECTIVE 1,,,,,,4,,,7
20,SIO 136,SIO,136,3;12;15,,,6,,,7
21,SIO 119,SIO,119,8;19,,,4,,,8
22,BICD 100,BICD,100,6,,,4,,,8
23,SIO 139,SIO,139,,,,1,,,8
24,SIO 181,SIO,181,,,,4,,,9
25,SIO 187,SIO,187,3,,,4,,,9
32,MARINE BIOLOGY ELECTIVE 2,,,,,,4,,,10
33,MARINE BIOLOGY ELECTIVE 3,,,,,,4,,,10
34,MARINE BIOLOGY ELECTIVE 4,,,,,,4,,,11
35,MARINE BIOLOGY ELECTIVE 5,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
26,MMW 11,MMW,11,,,,4,,,1
27,MMW 12,MMW,12,,,,6,,,2
28,MMW 13,MMW,13,27,,,6,,,3
29,MMW 14 / GE 1,MMW,14,27;28,,,4,,,4
36,MMW 14 / GE 2,MMW,14,27;28,,,4,,,5
30,MMW 15,MMW,15,27;28,,,4,,,6
37,GE / DEI,,,,,,4,,,6
38,GE 1,,,,,,4,,,7
39,GE 2,,,,,,4,,,7
40,GE 3,,,,,,4,,,8
41,ELECTIVE 1,,,,,,1,,,8
42,ELECTIVE 2,,,,,,4,,,9
43,GE 4,,,,,,4,,,10
44,ELECTIVE 3,,,,,,4,,,10
45,GE 5,,,,,,4,,,11
46,GE 6,,,,,,4,,,11
47,ELECTIVE 4,,,,,,4,,,12
48,ELECTIVE 5,,,,,,4,,,12
