Curriculum,Human Developmental Sciences with a Specialization in Equity and Diversity,,,,,,,,,
Degree Plan,Human Developmental Sciences with a Specialization in Equity and Diversity/ Warren,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,19.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
10,LD MAJOR PREP 1,,,,,,4,,,1
11,LD MAJOR PREP 2,,,,,,4,,,1
12,LD MAJOR PREP 3,,,,,,4,,,2
13,LD MAJOR PREP 4,,,,,,4,,,2
14,LD MAJOR PREP 5,,,,,,4,,,3
15,LD MAJOR PREP 6,,,,,,4,,,3
1,HDS 1,HDS,1,,,,4,,,4
16,HDS CORE COURSE 1,,,,,,4,,,5
17,HDS CORE COURSE 2,,,,,,4,,,5
18,HDS CORE COURSE 3,,,,,,4,,,6
19,HDS CORE COURSE 4,,,,,,4,,,6
20,HDS E&D SPECIALIZATION 1,,,,,,4,,,7
21,HDS DEVELOPMENT COURSE 1,,,,,,4,,,7
22,HDS E&D SPECIALIZATION 2,,,,,,4,,,8
2,HDS 60,HDS,60,,,,4,,,8
23,HDS DEVELOPMENT COURSE 2,,,,,,4,,,9
3,HDS 181,HDS,181,1;2,,,6,,,9
24,HDS DEVELOPMENT COURSE 3,,,,,,4,,,10
25,HDS E&D PRACTICUM,,,,,,6,,,10
4,HDS 191,HDS,191,1;3,,,6,,,11
5,HDS 150,HDS,150,3,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
6,WCWP 10A,WCWP,10A,,,,4,,,1
26,GE 1,,,,,,4,,,1
7,WCWP 10B,WCWP,10B,6,,,4,,,2
27,GE 2,,,,,,4,,,2
8,PHIL 27 / POLI 27,PHIL,27,6;7,,,4,,,3
28,GE 3,,,,,,4,,,3
9,PHIL 28 / POLI 28,PHIL,28,8,,,4,,,4
29,GE 4,,,,,,4,,,4
30,ELECTIVE 1,,,,,,4,,,4
31,GE / JTCCER,,,,,,4,,,5
32,ELECTIVE 2,,,,,,4,,,5
33,GE / DEI,,,,,,4,,,6
34,ELECTIVE 3,,,,,,4,,,6
35,GE 5,,,,,,4,,,7
36,GE 6,,,,,,4,,,7
37,GE 7,,,,,,4,,,8
38,GE 8,,,,,,4,,,8
39,GE 9,,,,,,4,,,9
40,GE 10,,,,,,4,,,10
41,ELECTIVE 4,,,,,,4,,,11
42,ELECTIVE 5,,,,,,4,,,11
43,ELECTIVE 6,,,,,,4,,,12
44,ELECTIVE 7,,,,,,4,,,12
