Curriculum,Probability & Statistics
Degree Plan,Probability & Statistics/ Sixth
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,27.0599
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,MATH 20B,MATH,20B,1,,,4,,,2
3,MATH 18,MATH,18,,,,4,,,2
4,MATH 20C,MATH,20C,2,,,4,,,3
5,MATH 20D / MATH 109,MATH,20D,4,,,4,,,4
6,CSE 11,CSE,11,,,,4,,,4
7,MATH 109 / MATH 20D,MATH,109,3;4,,,4,,,5
18,UD MAJOR 1,,,,,,4,,,6
8,MATH 20E,MATH,20E,3;4,,,4,,,6
19,UD MAJOR 2,,,,,,4,,,7
9,MATH 180A,MATH,180A,4,,,4,,,7
10,MATH 181A,MATH,181A,9;3;4,,,4,,,8
11,MATH 180B,MATH,180B,5;3;7;9,,,4,,,8
12,MATH 181B,MATH,181B,10,,,4,,,9
13,MATH 180C,MATH,180C,11,,,4,,,9
20,UD MAJOR 3,,,,,,4,,,10
21,UD MAJOR 4,,,,,,4,,,10
22,UD MAJOR 5,,,,,,4,,,11
23,UD MAJOR 6,,,,,,4,,,11
24,UD MAJOR 7,,,,,,4,,,12
25,UD MAJOR 8,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
14,CAT 1,CAT,1,,,,4,,,1
26,GE 1,,,,,,4,,,1
27,GE 2,,,,,,4,,,1
15,CAT 2,CAT,2,14,,,6,,,2
16,CAT 3,CAT,3,15,,,6,,,3
28,GE 3,,,,,,4,,,3
29,GE / DEI,,,,,,4,,,4
30,GE 4,,,,,,4,,,4
31,GE 5,,,,,,4,,,5
32,GE 6,,,,,,4,,,5
33,ELECTIVE 1,,,,,,4,,,5
34,GE 7,,,,,,4,,,6
35,ELECTIVE 2,,,,,,4,,,6
36,ELECTIVE 3,,,,,,4,,,7
37,ELECTIVE 4,,,,,,4,,,7
17,CAT 125 / EXPERIENTIAL LEARNING 1,CAT,125,,,,4,,,8
38,ELECTIVE 5,,,,,,4,,,8
39,CAT 125 / EXPERIENTIAL LEARNING 2,CAT,125,,,,4,,,9
40,ELECTIVE 6,,,,,,4,,,9
41,ELECTIVE 7,,,,,,4,,,10
42,ELECTIVE 8,,,,,,4,,,10
43,ELECTIVE 9,,,,,,4,,,11
44,ELECTIVE 10,,,,,,4,,,12
