Curriculum,Business Economics,,,,,,,,,
Degree Plan,Business Economics/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,52.1399,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A (OR 10A),MATH,20A,,,,4,,,1
2,ECON 1,ECON,1,,,,4,,,1
3,MATH 20B (OR 10B),MATH,20B,1,,,4,,,2
4,ECON 3,ECON,3,2,,,4,,,2
5,MATH 20C (OR 10C),MATH,20C,3,,,4,,,3
6,ECON / POLI 5,POLI,5,,,,4,,,3
7,MGT 16,MGT,16,,,,4,,,3
8,ECON 100A,ECON,100A,2;5,,,4,,,4
9,ECON 120A,ECON,120A,2;5,,,4,,,4
12,MGT 180,MGT,180,8,,,4,,,5
10,ECON 100B,ECON,100B,8,,,4,,,5
11,ECON 120B,ECON,120B,9,,,4,,,5
14,MGT 45,MGT,45,,,,4,,,6
15,MGT 71,MGT,71,,,,4,,,6
13,ECON 110B,ECON,110B,2;4;5,,,4,,,6
16,MGT 160,MGT,160,9;1,,,4,,,7
25,UD MAJOR ELECTIVE 1,,,,,,4,,,7
17,MGT 162 / 162R,MGT,162,,,,4,,,8
18,MGT 164,MGT,164,,,,4,,,9
26,UD MAJOR ELECTIVE 2,,,,,,4,,,10
19,MGT 100,MGT,100,11,,,4,,,11
27,UD MAJOR ELECTIVE 3,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
20,MMW 11,MMW,11,,,,4,,,1
28,GE 1,,,,,,4,,,1
21,MMW 12,MMW,12,,,,6,,,2
22,MMW 13,MMW,13,21,,,6,,,3
23,MMW14 / GE 1,MMW,14,21;22,,,4,,,4
29,GE 2,,,,,,4,,,4
30,MMW14 / GE 2,MMW,14,21;22,,,4,,,5
24,MMW15,MMW,15,21;22,,,4,,,6
31,GE 3,,,,,,4,,,7
32,DEI,,,,,,4,,,7
33,GE 4,,,,,,4,,,8
34,GE 5,,,,,,4,,,8
35,ELECTIVE 1,,,,,,4,,,8
36,GE 6,,,,,,4,,,9
37,GE 7,,,,,,4,,,9
38,ELECTIVE 2,,,,,,4,,,9
39,GE 8,,,,,,4,,,10
40,ELECTIVE 3,,,,,,4,,,10
41,GE 9,,,,,,4,,,11
42,ELECTIVE 4,,,,,,4,,,11
43,ELECTIVE 5,,,,,,4,,,12
44,ELECTIVE 6,,,,,,4,,,12
