Curriculum,Computer Engineering,,,,,,,,,
Degree Plan,Computer Engineering/ Seventh,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,14.0901,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
33,CSE LD ELECTIVE,,,,,,2,,,1
2,CSE 11,CSE,11,,,,4,,,1
1,MATH 20A,MATH,20A,,,,4,,,1
3,MATH 18,MATH,18,,,,4,,,2
5,CSE 15L,CSE,15L,2,,,2,,,2
4,CSE 12,CSE,12,2,,,4,,,2
6,MATH 20B,MATH,20B,1,,,4,,,3
7,PHYS 2A,PHYS,2A,1;1,,,4,,,3
8,CSE 20,CSE,20,2,,,4,,,3
11,CSE 21,CSE,21,8,,,4,,,4
12,ECE 35,ECE,35,3;1;6;7,,,4,,,4
9,PHYS 2B,PHYS,2B,7;6,,,4,,,4
10,MATH 20C,MATH,20C,6,,,4,,,4
15,CSE 30,CSE,30,4;5,,,4,,,5
16,ECE 45,ECE,45,12,,,4,,,5
13,PHYS 2C,PHYS,2C,7;10,,,4,,,5
14,MATH 20D,MATH,20D,10,,,4,,,5
17,CSE 100,CSE,100,11;4;5;15,,,4,,,6
18,ECE 109,ECE,109,1;6;10;14;3,,,4,,,6
19,ECE 65,ECE,65,12,,,4,,,6
21,CSE 110,CSE,110,17,,,4,,,7
34,CSE / ECE ELECTIVE 1,,,,,,4,,,7
20,CSE 101,CSE,101,11;4,,,4,,,7
24,ECE 101,ECE,101,16,,,4,,,8
22,CSE 140,CSE,140,8;15,,,4,,,8
23,CSE 140L,CSE,140L,8;15,,,2,,,8
26,CSE 141L,CSE,141L,15;22;23,,,2,,,9
25,CSE 141,CSE,141,15;22;23,,,4,,,9
27,ECE 108,ECE,108,22;15;16;19,,,4,,,9
28,ECE 111,ECE,111,22,,,4,,,9
35,CSE / ECE ELECTIVE 2,,,,,,4,,,10
29,CSE 120,CSE,120,15;20;21,,,4,,,10
36,CSE / ECE ELECTIVE 3,,,,,,4,,,11
37,CSE / ECE ELECTIVE 4,,,,,,4,,,11
38,CSE / ECE ELECTIVE 5,,,,,,4,,,12
39,CSE TECHNICAL ELECTIVE,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
40,ALTERNATIVE 1,,,,,,4,,,1
30,SYN 1,SYN,1,,,,4,,,2
41,ALTERNATIVE 2,,,,,,4,,,3
42,ALTERNATIVE 3,,,,,,4,,,6
31,SYN 2,SYN,2,30,,,4,,,7
43,ALTERNATIVE 4,,,,,,4,,,8
44,DEI,,,,,,4,,,10
32,SYN 100,SYN,100,30;31,,,4,,,10
45,ALTERNATIVE 5,,,,,,4,,,11
46,ELECTIVE,,,,,,4,,,11
47,ALTERNATIVE 6,,,,,,4,,,12
