Curriculum,Bioinformatics,,,,,,,,,
Degree Plan,Bioinformatics/ Muir,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,26.1103,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CHEM 6A,CHEM,6A,,,,4,,,1
2,MATH 20A,MATH,20A,,,,4,,,1
4,CHEM 6B,CHEM,6B,1;2,,,4,,,2
3,MATH 20B,MATH,20B,2,,,4,,,2
5,BILD 1,BILD,1,1,,,4,,,2
8,CHEM 7LM,CHEM,7LM,4,,,4,,,3
7,CHEM 6C,CHEM,6C,4,,,4,,,3
6,MATH 20C,MATH,20C,3,,,4,,,3
9,BILD 94,BILD,94,,,,1,,,3
10,PHYS 2A,PHYS,2A,2,,,4,,,4
11,CSE 11,CSE,11,,,,4,,,4
12,BILD 2,BILD,2,5,,,4,,,4
13,PHYS 2B,PHYS,2B,10;2;3,,,4,,,5
14,CSE 12,CSE,12,11,,,4,,,5
15,CHEM 140A,CHEM,140A,4,,,4,,,5
16,CSE 21 / MATH 15B,CSE,21,,,,4,,,6
17,CHEM 109,CHEM,109,,,,6,,,6
18,CHEM 140B,CHEM,140B,15,,,4,,,6
19,CHEM 114A / 140C,CHEM,114A,15,,,4,,,7
20,BICD 100,BICD,100,5,,,4,,,7
21,CSE 100 / MATH 176,CSE,100,16;14,,,4,,,7
22,MATH 18,MATH,18,,,,4,,,7
23,CHEM 114B,CHEM,114B,18,,,4,,,8
26,MATH 186,MATH,186,6,,,4,,,8
24,CHEM 114D,CHEM,114D,19,,,4,,,8
25,CSE 101 / MATH 188,CSE,101,21,,,4,,,8
27,BICD 110,BICD,110,,,,4,,,9
28,BIMM 181 / BENG 181 / CSE 181,BIMM,181,21;25,,,4,,,9
35,CHEM ELECTIVE 1,,,,,,4,,,9
29,CHEM 182 / BIMM 182 / BENG 182 / CSE 182,CHEM,182,,,,4,,,10
31,BENG 183,BENG,183,,,,4,,,10
30,CHEM 127,CHEM,127,,,,4,,,10
33,CHEM 108,CHEM,108,19,,,6,,,11
32,CHEM 184 / BIMM 184 / BENG 184 / CSE 184,CHEM,184,28;29,,,4,,,11
34,BIMM 185,BIMM,185,28;28;28;28;28;28;28;28;28;31,,,4,,,12
36,CHEM ELECTIVE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
37,GE / WRITING 1,,,,,,4,,,1
38,DEI / GE,,,,,,4,,,1
39,GE / WRITING 2,,,,,,4,,,2
40,GE 1,,,,,,4,,,3
41,GE 2,,,,,,4,,,4
42,GE 3,,,,,,4,,,5
43,GE 4,,,,,,4,,,6
44,GE 5,,,,,,4,,,9
45,GE 6,,,,,,4,,,10
46,GE 7,,,,,,4,,,11
47,GE 8,,,,,,4,,,12
