Curriculum,Molecular Biology,,,,,,,,,
Degree Plan,Molecular Biology/ Warren,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,26.0204,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
3,CHEM 6A,CHEM,6A,,,,4,,,1
2,BILD 4,BILD,4,,,,2,,,1
4,MATH 20B,MATH,20B,1,,,4,,,2
6,CHEM 6B,CHEM,6B,3;1,,,4,,,2
5,BILD 3,BILD,3,,,,4,,,2
7,MATH 20C,MATH,20C,4,,,4,,,3
8,CHEM 6C,CHEM,6C,6,,,4,,,3
9,CHEM 7L,CHEM,7L,6,,,4,,,3
10,BILD 1,BILD,1,3,6,,4,,,4
13,CHEM 140A,CHEM,140A,6,,,4,,,4
11,PHYS 1A,PHYS,1A,1,,,3,,,4
12,PHYS 1AL,PHYS,1AL,1,,,2,,,4
14,BICD 100,BICD,100,10,,,4,,,5
17,CHEM 140B,CHEM,140B,13,,,4,,,5
15,PHYS 1B,PHYS,1B,4;11;12,,,3,,,5
16,PHYS 1BL,PHYS,1BL,11;12;4,,,2,,,5
18,BIBC 102,BIBC,102,13;17,,,4,,,6
21,CHEM 143A,CHEM,143A,9;13,,,4,,,6
19,PHYS 1C,PHYS,1C,7;15;16,,,3,,,6
20,PHYS 1CL,PHYS,1CL,15;16;7,,,2,,,6
22,BIMM 100,BIMM,100,10;18,,,4,,,7
28,UD BIOLOGY ELECTIVE 1,,,,,,4,,,7
23,BIBC 100,BIBC,100,13;17,,,4,,,8
24,BIMM 112,BIMM,112,22,,,4,,,8
26,BICD 110,BICD,110,18,,,4,,,9
25,BIMM 101,BIMM,101,10,,,4,,,9
29,UD BIOLOGY LAB,,,,,,4,,,10
27,BIMM 122,BIMM,122,22,,,4,,,11
30,UD BIOLOGY ELECTIVE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
31,GE 1,,,,,,4,,,1
32,GE 2,,,,,,4,,,2
33,GE 3,,,,,,4,,,3
34,GE 4,,,,,,4,,,4
35,GE 5,,,,,,4,,,5
36,GE / DEI,,,,,,4,,,6
37,GE 6,,,,,,4,,,7
38,GE 7,,,,,,4,,,7
39,GE 8,,,,,,4,,,8
40,GE 9,,,,,,4,,,8
41,GE 10,,,,,,4,,,9
42,ELECTIVE 1,,,,,,3,,,9
43,GE 11,,,,,,4,,,10
44,GE 12,,,,,,4,,,10
45,GE 13,,,,,,4,,,11
46,GE 14,,,,,,4,,,11
47,ELECTIVE 2,,,,,,4,,,12
48,GE 15,,,,,,4,,,12
