Curriculum,Business Economics,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,52.1399,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,ECON 1,ECON,1,,,,4,,
2,MATH 20A (OR 10A),MATH,20A,,,,4,,
3,MATH 20B (OR 10B),MATH,20B,2,,,4,,
4,ECON 3,ECON,3,1,,,4,,
5,MATH 20C (OR 10C),MATH,20C,3,,,4,,
6,MGT 16,MGT,16,,,,4,,
7,ECON / POLI 5,POLI,5,,,,4,,
8,ECON 100A,ECON,100A,1;5,,,4,,
9,ECON 120A,ECON,120A,1;5,,,4,,
10,ECON 100B,ECON,100B,8,,,4,,
11,ECON 120B,ECON,120B,9,,,4,,
12,MGT 71,MGT,71,,,,4,,
13,ECON 110B,ECON,110B,1;4;5,,,4,,
14,MGT 45,MGT,45,,,,4,,
15,MGT 164,MGT,164,,,,4,,
16,MGT 100,MGT,100,9,,,4,,
17,MGT 160,MGT,160,9;2,,,4,,
18,MGT 180,MGT,180,8,,,4,,
19,MGT 162 / MGT162R,MGT,162,,,,4,,
20,UD MAJOR ELECTIVE 1,,,,,,4,,
21,UD MAJOR ELECTIVE 2,,,,,,4,,
22,UD MAJOR ELECTIVE 3,,,,,,4,,
