Curriculum,Economics,,,,,,,,,
Degree Plan,Economics/ Warren,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,45.0603,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A (OR 10A),MATH,20A,,,,4,,,1
2,ECON 1,ECON,1,,,,4,,,1
4,MATH 20B (OR 10B),MATH,20B,1,,,4,,,2
3,ECON 3,ECON,3,2,,,4,,,2
5,MATH 20C (OR 10C),MATH,20C,4,,,4,,,3
6,ECON 100A,ECON,100A,2;5,,,4,,,4
7,ECON 120A,ECON,120A,2;5,,,4,,,4
9,ECON 100B,ECON,100B,6,,,4,,,5
8,ECON 120B,ECON,120B,7,,,4,,,5
11,ECON 110A,ECON,110A,2;3;5,,,4,,,6
10,ECON 120C,ECON,120C,8,,,4,,,6
12,ECON 110B,ECON,110B,2;3;5,,,4,,,7
17,ECON UD ELECTIVE 1,,,,,,4,,,8
18,ECON UD ELECTIVE 2,,,,,,4,,,9
19,ECON UD ELECTIVE 3,,,,,,4,,,10
20,ECON UD ELECTIVE 4,,,,,,4,,,11
21,ECON UD ELECTIVE 5,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
13,WCWP 10A,WCWP,10A,,,,4,,,1
22,GE 1,,,,,,4,,,1
14,WCWP 10B,WCWP,10B,13,,,4,,,2
23,GE 2,,,,,,4,,,2
15,PHIL 27 / POLI 27,PHIL,27,13;14,,,4,,,3
24,GE 3,,,,,,4,,,3
25,ELECTIVE 1,,,,,,4,,,3
16,PHIL 28 / POLI 28,PHIL,28,15,,,4,,,4
26,GE 4,,,,,,4,,,4
27,GE / JTCCER,,,,,,4,,,5
28,ELECTIVE 2,,,,,,4,,,5
29,GE / DEI,,,,,,4,,,6
30,ELECTIVE 3,,,,,,4,,,6
31,GE 5,,,,,,4,,,7
32,ELECTIVE 4,,,,,,4,,,7
33,ELECTIVE 5,,,,,,4,,,7
34,GE 6,,,,,,4,,,8
35,ELECTIVE 6,,,,,,4,,,8
36,ELECTIVE 7,,,,,,4,,,8
37,GE 7,,,,,,4,,,9
38,ELECTIVE 8,,,,,,4,,,9
39,ELECTIVE 9,,,,,,4,,,9
40,GE 8,,,,,,4,,,10
41,ELECTIVE 10,,,,,,4,,,10
42,GE 9,,,,,,4,,,11
43,ELECTIVE 11,,,,,,4,,,11
44,GE 10,,,,,,4,,,12
45,ELECTIVE 12,,,,,,4,,,12
