Curriculum,Nanoengineering,,,,,,,,,
Degree Plan,Nanoengineering/ Eighth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,14.9999,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,NANO 4,NANO,4,,,,1,,,1
4,NANO 15,NANO,15,,,,4,,,1
5,MATH 20B,MATH,20B,1,,,4,,,2
6,CHEM 6B,CHEM,6B,2;1,,,4,,,2
7,NANO 11,NANO,11,3,,,4,,,2
9,CHEM 6C,CHEM,6C,6,,,4,,,3
8,MATH 20C,MATH,20C,5,,,4,,,3
10,PHYS 2A,PHYS,2A,1;1,,,4,,,3
15,NANO 102,NANO,102,9,,,4,,,4
11,MATH 20D,MATH,20D,8,,,4,,,4
13,CHEM 7L,CHEM,7L,6,,,4,,,4
12,PHYS 2B,PHYS,2B,10;5,,,4,,,4
14,NANO 20L,NANO,20L,3,,,1,,,4
16,MATH 18,MATH,18,,,,4,,,5
17,PHYS 2C,PHYS,2C,10;8,,,4,,,5
18,BILD 1,BILD,1,,,,4,,,5
19,NANO 104,NANO,104,11,,,4,,,5
22,NANO 108,NANO,108,,,,4,,,6
20,MATH 20E,MATH,20E,16;8,,,4,,,6
21,PHYS 2D,PHYS,2D,10;12;11,,,4,,,6
37,NE ELECTIVE 1,,,,,,4,,,7
24,NANO 148,NANO,148,,,,4,,,7
23,NANO 111,NANO,111,15,,,4,,,7
25,NANO 107,NANO,107,4;5;12;7,,,4,,,8
26,NANO 117,NANO,117,,,,4,,,8
38,NE ELECTIVE 2,,,,,,4,,,8
27,NANO 112,NANO,112,15;19,,,4,,,9
28,NANO 115L,NANO,115L,23,,,4,,,9
29,NANO 119,NANO,119,28,,,1,,,10
30,NANO 110,NANO,110,16;15;19;4,,,4,,,10
39,NE ELECTIVE 3,,,,,,4,,,10
31,NANO 120A,NANO,120A,30,,,4,,,11
40,NE ELECTIVE 4,,,,,,4,,,11
41,NE ELECTIVE 5,,,,,,4,,,12
32,NANO 120B,NANO,120B,31,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
33,CCE 1,CCE,1,,,,4,,,2
42,DEI,,,,,,4,,,3
34,CCE 2,CCE,2,,,,4,,,4
35,CCE 3,CCE,3,,,,4,,,6
43,BREADTH GE 1,,,,,,4,,,7
44,BREADTH GE 2,,,,,,4,,,8
36,CCE 120,CCE,120,,,,4,,,9
45,BREADTH GE 3,,,,,,4,,,10
46,BREADTH GE 4,,,,,,4,,,11
47,BREADTH GE 5,,,,,,4,,,11
48,BREADTH GE 6,,,,,,4,,,12
