Curriculum,Bioengineering: BioSystems,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,14.4501,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 20A,MATH,20A,,,,4,,
2,CHEM 6A,CHEM,6A,,,,4,,
3,BENG 2,BENG,2,,,,2,,
4,MATH 20B,MATH,20B,1,,,4,,
5,CHEM 6B,CHEM,6B,2;1,,,4,,
6,PHYS 2A,PHYS,2A,1,,,4,,
7,BENG 1,BENG,1,,,,1,,
8,MATH 20C / 31BH,MATH,20C,4,,,4,,
9,PHYS 2B,PHYS,2B,6;4,,,4,,
10,PHYS 2BL,PHYS,2BL,6,,,2,,
11,ECE 35,ECE,35,1;4;6,,,4,,
12,MATH 20D,MATH,20D,8,,,4,,
13,PHYS 2C,PHYS,2C,6;1;4;8,,,4,,
14,PHYS 2CL,PHYS,2CL,6;9,,,2,,
15,ECE 45,ECE,45,11,,,4,,
16,MATH 20F / 31AH,MATH,20F,8,,,4,,
17,BENG 120,BENG,120,2;5,,,4,,
18,MATH 20E / 31CH,MATH,20E,8,,,4,,
19,BENG 100,BENG,100,7;8;12;16;6;9;13,,,4,,
20,BENG 102,BENG,102,17,,,4,,
21,BENG 110,BENG,110,13;12;18;16,,,4,,
22,BENG 134,BENG,134,12;16,,,4,,
23,BENG 141,BENG,141,19,,,4,,
24,BENG 152,BENG,152,20,,,4,,
25,BENG 130,BENG,130,5;1;4;6;9;12;13,,,4,,
26,BENG 186B,BENG,186B,11;15,,,4,,
27,BENG 140A,BENG,140A,2;5;6;9;13;20,,,4,,
28,BENG 140B,BENG,140B,27,,,4,,
29,BENG 133,BENG,133,12;16,,,4,,
30,BENG 187A,BENG,187A,24,,,1,,
31,BENG 122A,BENG,122A,22,,,4,,
32,BENG 135,BENG,135,15;29,,,4,,
38,DE 1,,,,,,3,,
33,BENG 187B,BENG,187B,30,,,1,,
39,TECHNICAL ELECTIVE 1,,,,,,4,,
40,DE 2,,,,,,3,,
34,BENG 187C,BENG,187C,33,,,1,,
41,TECHNICAL ELECTIVE 2,,,,,,4,,
35,BENG 125,BENG,125,31,,,4,,
36,BENG 189,BENG,189,29;22;32;27;28,,,4,,
37,BENG 187D,BENG,187D,34,,,1,,
