Curriculum,International Studies-Economics,,,,,,,,,
Degree Plan,International Studies-Economics/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,30.2001,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
13,LANGUAGE 1,,,,,,5,,,1
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
14,LANGUAGE 2,,,,,,5,,,2
2,MATH 10B / 20B,MATH,10B,1,,,4,,,2
15,LANGUAGE 3,,,,,,5,,,3
3,MATH 10C / 20C,MATH,10C,2,,,4,,,3
16,LANGUAGE 4,,,,,,5,,,4
4,ECON 1,ECON,1,,,,4,,,4
5,INTL 101 / 102 1,INTL,101,9,,,4,,,5
6,ECON 2,ECON,2,4,,,4,,,5
17,INTL 101 / 102 2,INTL,101,9,,,4,,,6
7,ECON 3,ECON,3,4,,,4,,,6
18,EAP / OAP (RECOMMENDED),,,,,,16,,,7
19,DF1 - ECONOMICS,,,,,,4,,,8
20,IE1 - INTERDISC ELECTIVE (RR1),,,,,,4,,,8
21,IE2 - INTERDISC ELECTIVE,,,,,,4,,,8
22,DF2 - ECONOMICS,,,,,,4,,,9
23,DF3 - ECONOMICS (RR2),,,,,,4,,,9
24,IE3 - INTERDISC ELECTIVE,,,,,,4,,,9
25,DF4 - ECONOMICS,,,,,,4,,,10
26,DF5 - ECONOMICS (RR3),,,,,,4,,,10
8,INTL 190,INTL,190,5,,,4,,,11
27,DF6 - ECONOMICS,,,,,,4,,,11
28,DF7 - ECONOMICS,,,,,,4,,,12
29,DF8 - ECONOMICS,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
9,CAT 1,CAT,1,,,,4,,,1
10,CAT 2,CAT,2,9,,,6,,,2
11,CAT 3,CAT,3,10,,,6,,,3
30,DEI,,,,,,4,,,4
31,GE 1,,,,,,4,,,4
32,GE 2,,,,,,4,,,5
33,GE 3,,,,,,4,,,5
34,GE 4,,,,,,4,,,6
35,GE 5,,,,,,4,,,6
12,CAT 125,CAT,125,,,,4,,,8
36,ELECTIVE 1,,,,,,4,,,9
37,GE 6,,,,,,4,,,10
38,ELECTIVE 2,,,,,,4,,,10
39,ELECTIVE 3,,,,,,4,,,11
40,ELECTIVE 4,,,,,,4,,,12
