Curriculum,Molecular Synthesis,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,40.0599,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,CHEM 6A,CHEM,6A,,,,4,,
2,MATH 20A,MATH,20A,,,,4,,
3,CHEM 6B,CHEM,6B,1;2,,,4,,
4,MATH 20B,MATH,20B,2,,,4,,
5,CHEM 6C,CHEM,6C,3,,,4,,
6,CHEM 7LM / 7L,CHEM,7LM,3,,,4,,
7,MATH 20C,MATH,20C,4,,,4,,
8,MATH 18,MATH,18,,,,4,,
9,CHEM 41A,CHEM,41A,3,,,4,,
10,PHYS 2A,PHYS,2A,2;2,,,4,,
11,CHEM 41B,CHEM,41B,9,,,4,,
12,CHEM 43A,CHEM,43A,6;9,,,4,,
13,PHYS 2B,PHYS,2B,10;4,,,4,,
14,MATH 20D,MATH,20D,7;8,,,4,,
15,PHYS 2BL / 2CL,PHYS,2BL,10,,,2,,
16,CHEM 41C,CHEM,41C,11,,,4,,
17,PHYS 2C / 2D,PHYS,2C,10;7,,,4,,
18,CHEM 100A,CHEM,100A,5;6,,,4,,
19,CHEM 114A,CHEM,114A,9,,,4,,
20,CHEM 120A,CHEM,120A,5;9,,,4,,
21,CHEM 143B,CHEM,143B,12;11,,,4,,
22,CHEM 120B,CHEM,120B,20,,,4,,
23,CHEM 156,CHEM,156,16;20,,,4,,
24,CHEM 152,CHEM,152,16,,,4,,
25,CHEM 126A,CHEM,126A,5;17;7,,,4,,
26,CHEM 143C,CHEM,143C,12;11,,,4,,
27,CHEM 126B,CHEM,126B,25,,,4,,
31,MOLECULAR SYNTHESIS ELECTIVE,,,,,,4,,
28,CHEM 105A,CHEM,105A,18;15;25,,,4,,
29,CHEM 157,CHEM,157,16,,,4,,
30,CHEM 123,CHEM,123,20;12;22,,,4,,
