Curriculum,Environmental Systems (Environmental Chemistry),,,,,,,,,
Degree Plan,Environmental Systems (Environmental Chemistry)/ Muir,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,03.0103,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,ECON 1,ECON,1,,,,4,,,1
5,MATH 20B,MATH,20B,1,,,4,,,2
6,CHEM 6B,CHEM,6B,2;1,,,4,,,2
4,BILD 3,BILD,3,,,,4,,,2
9,MATH 20C,MATH,20C,5,,,4,,,3
8,CHEM 6C,CHEM,6C,6,,,4,,,3
7,CHEM 7L,CHEM,7L,6,,,4,,,3
11,MATH 20D,MATH,20D,9,,,4,,,4
12,ESYS 101,ESYS,101,4,,,4,,,4
10,PHYS 2A,PHYS,2A,1;1,,,4,,,4
13,CHEM 40A,CHEM,40A,6,,,4,,,5
15,ESYS 102,ESYS,102,1;2;10,,,4,,,5
14,PHYS 2B,PHYS,2B,10;5,,,4,,,5
17,CHEM 40B,CHEM,40B,13,,,4,,,6
19,ESYS 103,ESYS,103,,,,4,,,6
18,PHYS 2C,PHYS,2C,10;9,,,4,,,6
16,PHYS 2CL,PHYS,2CL,10;14,,,2,,,6
20,ECON 131,ECON,131,,,,4,,,7
21,POLI 160AA,POLI,160AA,,,,4,,,7
22,CHEM 43A,CHEM,43A,7;13,,,4,,,7
23,CHEM 100A,CHEM,100A,8;7,,,4,,,8
30,ESYS MAJOR ELECTIVE 1,,,,,,5,,,8
24,CHEM 100B,CHEM,100B,23;18;16,,,4,,,9
31,ESYS MAJOR ELECTIVE 2,,,,,,4,,,9
25,ESYS 187A,ESYS,187A,19,,,4,,,10
32,ESYS MAJOR ELECTIVE 3,,,,,,4,,,10
26,ESYS 187B,ESYS,187B,25,,,4,,,11
27,ESYS 187C,ESYS,187C,26,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
28,MCWP 40,MCWP,40,,,,4,,,1
29,MCWP 50,MCWP,50,28,,,4,,,2
33,GE 1,,,,,,4,,,3
34,GE 2,,,,,,4,,,4
35,GE 3,,,,,,4,,,5
36,GE 4,,,,,,4,,,7
37,CCER,,,,,,4,,,8
38,GE 5,,,,,,4,,,8
39,GE 6,,,,,,4,,,9
40,GE 7,,,,,,4,,,9
41,DEI,,,,,,4,,,10
42,ELECTIVE,,,,,,1,,,10
43,MUIR UD ELECTIVE 1,,,,,,4,,,11
44,GE 8,,,,,,4,,,11
45,MUIR UD ELECTIVE 2,,,,,,4,,,12
46,GE 9,,,,,,4,,,12
