Curriculum,Computer Engineering,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,14.0901,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
30,CSE LD ELECTIVE,,,,,,2,,
1,CSE 11,CSE,11,,,,4,,
2,MATH 20A,MATH,20A,,,,4,,
3,MATH 18,MATH,18,,,,4,,
4,CSE 15L,CSE,15L,1,,,2,,
5,CSE 12,CSE,12,1,,,4,,
6,MATH 20B,MATH,20B,2,,,4,,
7,PHYS 2A,PHYS,2A,2;2,,,4,,
8,CSE 20,CSE,20,1,,,4,,
9,CSE 21,CSE,21,8,,,4,,
10,ECE 35,ECE,35,3;2;6;7,,,4,,
11,PHYS 2B,PHYS,2B,7;6,,,4,,
12,MATH 20C,MATH,20C,6,,,4,,
13,CSE 30,CSE,30,5;4,,,4,,
14,ECE 45,ECE,45,10,,,4,,
15,PHYS 2C,PHYS,2C,7;12,,,4,,
16,MATH 20D,MATH,20D,12,,,4,,
17,CSE 100,CSE,100,9;5;4;13,,,4,,
18,ECE 109,ECE,109,2;6;12;16;3,,,4,,
19,ECE 65,ECE,65,10,,,4,,
20,CSE 110,CSE,110,17,,,4,,
31,CSE / ECE ELECTIVE 1,,,,,,4,,
21,CSE 101,CSE,101,17,,,4,,
22,ECE 101,ECE,101,14,,,4,,
23,CSE 140,CSE,140,8;13,,,4,,
24,CSE 140L,CSE,140L,8;13,,,2,,
25,CSE 141L,CSE,141L,13;23;24,,,2,,
26,CSE 141,CSE,141,13;23;24,,,4,,
27,ECE 108 (REPLACE WITH A CSE / ECE ELECTIVE),ECE,108,23;13;14;19,,,4,,
28,ECE 111,ECE,111,23,,,4,,
32,CSE / ECE ELECTIVE 2,,,,,,4,,
29,CSE 120,CSE,120,13;21;20,,,4,,
33,CSE / ECE ELECTIVE 3,,,,,,4,,
34,CSE / ECE ELECTIVE 4,,,,,,4,,
35,CSE / ECE ELECTIVE 5,,,,,,4,,
36,CSE TECHNICAL ELECTIVE,,,,,,4,,
