Curriculum,Music,,,,,,,,,
Degree Plan,Music/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,50.0901,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MUS 43 1,MUS,43,,,,1,,,1
3,MUS 2A (FINE ARTS GE),MUS,2A,,,,4,,,1
2,MUS 2AK,MUS,2AK,,,,2,,,1
20,MUS 43 2,MUS,43,,,,1,,,2
5,MUS 2B,MUS,2B,3,,,4,,,2
4,MUS 2BK,MUS,2BK,3;2,,,2,,,2
21,MUS 43 3,MUS,43,,,,1,,,3
6,MUS 2C,MUS,2C,5,,,4,,,3
7,MUS 2CK,MUS,2CK,4,,,2,,,3
22,ENSEMBLE 1,,,,,,2,,,4
23,MUS 43 4,MUS,43,,,,1,,,4
24,ENSEMBLE 2,,,,,,2,,,5
25,MUS 43 5,MUS,43,,,,1,,,5
26,ENSEMBLE 3,,,,,,2,,,6
27,MUS 43 6,MUS,43,,,,1,,,6
8,MUS 120A,MUS,120A,6,,,4,,,7
28,MUS UD ELECTIVE 1,,,,,,4,,,7
29,MUS 43 7,MUS,43,,,,1,,,7
9,MUS 101A,MUS,101A,6;7,,,4,,,7
30,MUS UD ELECTIVE 2,,,,,,4,,,8
10,MUS 120B,MUS,120B,8,,,4,,,8
11,MUS 101B,MUS,101B,6,,,4,,,8
31,MUS 43 8,MUS,43,,,,1,,,8
32,MUS UD ELECTIVE 3,,,,,,4,,,9
12,MUS 101C,MUS,101C,11,,,4,,,9
13,MUS 120C,MUS,120C,10,,,4,,,9
33,MUS 43 9,MUS,43,,,,1,,,9
34,MUS UD EMPHASIS 1,,,,,,4,,,10
35,MUS 43 10,MUS,43,,,,1,,,10
36,MUS UD EMPHASIS 2,,,,,,4,,,11
37,MUS 43 11,MUS,43,,,,1,,,11
38,MUS UD EMPHASIS 3,,,,,,4,,,12
39,MUS 43 12,MUS,43,,,,1,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
14,MATH 10A / 20A,MATH,10A,,,,4,,,1
40,DEI / SOCIAL SCIENCE GE,,,,,,4,,,1
15,HUM 1,HUM,1,,,,6,,,2
41,MATH GE 1,,,,,,4,,,2
16,HUM 2,HUM,2,,,,6,,,3
17,HUM 3,HUM,3,15,,,4,,,4
42,MATH GE 2,,,,,,4,,,4
43,CCER / NATURAL SCIENCE GE,,,,,,4,,,4
18,HUM 4,HUM,4,,,,4,,,5
44,CHEMISTRY GE,,,,,,4,,,5
45,UD ELECTIVE 1,,,,,,4,,,5
19,HUM 5,HUM,5,,,,4,,,6
46,SOCIAL SCIENCE GE,,,,,,4,,,6
47,BIOLOGY GE,,,,,,4,,,6
48,LANGUAGE 1,,,,,,5,,,7
49,LANGUAGE 2,,,,,,5,,,8
50,LANGUAGE 3,,,,,,5,,,9
51,PHYSICS GE,,,,,,4,,,10
52,LANGUAGE 4,,,,,,5,,,10
53,NATURAL SCIENCE GE,,,,,,4,,,11
54,UD ELECTIVE 2,,,,,,4,,,11
55,UD AHI / UD ELECTIVE,,,,,,4,,,12
