Curriculum,Chinese Studies
Degree Plan,Chinese Studies/ ERC
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,05.0123
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CHIN 10A (M / D / N),CHIN,10A,,,,5,,,1
2,CHIN 10B (M / D / N),CHIN,10B,,,,5,,,2
3,CHIN 10C (M / D / N),CHIN,10C,,,,5,,,3
12,CHINESE STUDIES UD ELECTIVE 1,,,,,,4,,,3
4,CHIN 20A (M / D / N),CHIN,20A,,,,4,,,4
13,CHINESE STUDIES UD ELECTIVE 2,,,,,,4,,,4
5,CHIN 20B (M / D / N),CHIN,20B,,,,4,,,5
14,CHINESE STUDIES UD ELECTIVE 3,,,,,,4,,,5
6,CHIN 20C (M / D / N),CHIN,20C,,,,4,,,6
15,CHINESE STUDIES UD ELECTIVE 4,,,,,,4,,,6
16,CHINESE STUDIES UD ELECTIVE 5,,,,,,4,,,7
17,CHINESE STUDIES COLLOQUIUM,,,,,,4,,,7
18,CHINESE STUDIES UD ELECTIVE 6,,,,,,4,,,8
19,CHINESE STUDIES UD ELECTIVE 7,,,,,,4,,,8
20,CHINESE STUDIES UD ELECTIVE 8,,,,,,4,,,9
21,CHINESE STUDIES UD ELECTIVE 9,,,,,,4,,,9
22,CHINESE STUDIES UD ELECTIVE 10,,,,,,4,,,10
23,CHINESE STUDIES UD ELECTIVE 11,,,,,,4,,,11
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,MMW 11,MMW,11,,,,4,,,1
24,GE 1,,,,,,4,,,1
25,GE 2,,,,,,4,,,1
8,MMW 12,MMW,12,,,,6,,,2
26,GE 3,,,,,,4,,,2
9,MMW 13,MMW,13,8,,,6,,,3
10,MMW 14 / GE 1,MMW,14,8;9,,,4,,,4
27,GE / DEI,,,,,,4,,,4
28,MMW 14 / GE 2,MMW,14,8;9,,,4,,,5
29,GE 4,,,,,,4,,,5
11,MMW 15,MMW,15,8;9,,,4,,,6
30,GE 5,,,,,,4,,,6
31,GE 6,,,,,,4,,,7
32,ELECTIVE 1,,,,,,4,,,7
33,ELECTIVE 2,,,,,,4,,,8
34,ELECTIVE 3,,,,,,4,,,8
35,ELECTIVE 4,,,,,,4,,,9
36,ELECTIVE 5,,,,,,4,,,9
37,CHINESE STUDIES UD ELECTIVE 12,,,,,,4,,,10
38,ELECTIVE 6,,,,,,4,,,10
39,ELECTIVE 7,,,,,,1,,,10
40,ELECTIVE 8,,,,,,4,,,11
41,ELECTIVE 9,,,,,,4,,,11
42,ELECTIVE 10,,,,,,4,,,12
43,ELECTIVE 11,,,,,,4,,,12
44,ELECTIVE 12,,,,,,4,,,12
