Curriculum,Interdisciplinary Computing and the Arts,,,,,,,,,
Degree Plan,Interdisciplinary Computing and the Arts/ Muir,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,50.0999,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,VIS 41,VIS,41,,,,4,,,1
8,LD BEGINNING PRACTICE,,,,,,4,,,1
9,LD THEORY AND HISTORY,,,,,,4,,,2
2,CSE 11,CSE,11,,,,4,,,2
10,LD RESTRICTED ELECTIVE 1,,,,,,4,,,3
11,LD RESTRICTED ELECTIVE 2,,,,,,4,,,3
3,MATH 20A,MATH,20A,,,,4,,,4
4,MUS 43 1,MUS,43,,,,1,,,4
5,MATH 20B,MATH,20B,3,,,4,,,5
12,MUS 43 2,MUS,43,,,,1,,,5
13,UD HISTORY,,,,,,4,,,6
14,MUS 43 3,MUS,43,,,,1,,,6
15,MUS 43 4,MUS,43,,,,1,,,7
16,UD FOUNDATION 1,,,,,,4,,,7
17,UD FOUNDATION 2,,,,,,4,,,8
18,UD THEORY & HISTORY,,,,,,4,,,8
19,UD FOUNDATION 3,,,,,,4,,,9
20,UD PRACTICE 1,,,,,,4,,,9
21,UD PRACTICE 2,,,,,,4,,,10
22,UD ADVANCED PRACTICE,,,,,,4,,,11
23,UD ELECTIVE 1,,,,,,4,,,11
6,MUS 160A,MUS,160A,,,,4,,,11
24,UD ELECTIVE 2,,,,,,4,,,12
7,MUS 160B,MUS,160B,6,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
25,GE 1,,,,,,4,,,1
26,GE / WRITING 1,,,,,,4,,,1
27,GE / WRITING 2,,,,,,4,,,2
28,GE 2,,,,,,4,,,2
29,GE 3,,,,,,4,,,3
30,DEI,,,,,,4,,,3
31,ELECTIVE 1,,,,,,4,,,4
32,ELECTIVE 2,,,,,,4,,,4
33,GE 4,,,,,,4,,,4
34,ELECTIVE 3,,,,,,4,,,5
35,GE 5,,,,,,4,,,5
36,ELECTIVE 4,,,,,,4,,,5
37,GE 6,,,,,,4,,,6
38,GE 7,,,,,,4,,,6
39,GE 8,,,,,,4,,,6
40,GE 9,,,,,,4,,,7
41,ELECTIVE 5,,,,,,4,,,7
42,MUIR UD ELECTIVE 1,,,,,,4,,,8
43,ELECTIVE 6,,,,,,4,,,9
44,MUIR UD ELECTIVE 2,,,,,,4,,,10
45,UD ELECTIVE 3,,,,,,4,,,10
46,ELECTIVE 7,,,,,,4,,,11
47,ELECTIVE 8,,,,,,4,,,12
48,MUIR UD ELECTIVE 3,,,,,,4,,,12
