Curriculum,Russian Literature
Degree Plan,Russian Literature/ Marshall
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,16.0402
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LTRU 1A,LTRU,1A,,,,5,,,1
2,LTRU 1B,LTRU,1B,,,,5,,,2
3,LTRU 1C,LTRU,1C,,,,5,,,3
4,LTRU 2A,LTRU,2A,,,,5,,,4
5,LTRU 2B,LTRU,2B,,,,5,,,5
16,LD LTEN 1,,,,,,4,,,5
6,LTRU 2C,LTRU,2C,,,,5,,,6
17,LD LTEN 2,,,,,,4,,,6
7,LTRU 104A,LTRU,104A,,,,4,,,7
18,UD LTEN,,,,,,4,,,7
8,LTRU 104B,LTRU,104B,7,,,4,,,8
19,UD LTRU 1,,,,,,4,,,8
9,LTRU 104C,LTRU,104C,,,,4,,,9
20,UD LTRU 2,,,,,,4,,,9
10,LTRU 110A,LTRU,110A,,,,4,,,10
21,UD LTRU 3,,,,,,4,,,10
22,UD LTRU 4,,,,,,4,,,11
11,LTRU 110B,LTRU,110B,,,,4,,,11
12,LTRU 110C,LTRU,110C,,,,4,,,12
23,UD LTRU 5,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
13,DOC 1 / DEI,DOC,1,,,,4,,,1
24,GE 1,,,,,,4,,,1
25,GE 2,,,,,,4,,,1
14,DOC 2,DOC,2,13,,,6,,,2
26,GE 3,,,,,,4,,,2
27,GE 4,,,,,,4,,,2
15,DOC 3,DOC,3,,,,6,,,3
28,GE 5,,,,,,4,,,3
29,GE 6,,,,,,4,,,4
30,GE 7,,,,,,4,,,4
31,ELECTIVE 1,,,,,,4,,,4
32,GE 8,,,,,,4,,,5
33,GE 9,,,,,,4,,,5
34,GE 10,,,,,,4,,,6
35,ELECTIVE 2,,,,,,4,,,7
36,ELECTIVE 3,,,,,,4,,,7
37,ELECTIVE 4,,,,,,4,,,8
38,ELECTIVE 5,,,,,,2,,,8
39,UD COLLEGE ELECTIVE,,,,,,4,,,9
40,ELECTIVE 6,,,,,,4,,,9
41,UD GE 1,,,,,,4,,,10
42,UD GE 2,,,,,,4,,,11
43,ELECTIVE 7,,,,,,4,,,12
