Curriculum,Chinese Studies
Degree Plan,Chinese Studies/ Warren
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,05.0123
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CHIN 10A (M / D / N),CHIN,10A,,,,5,,,1
2,CHIN 10B (M / D / N),CHIN,10B,,,,5,,,2
3,CHIN 10C (M / D / N),CHIN,10C,,,,5,,,3
4,CHIN 20A (M / D / N),CHIN,20A,,,,4,,,4
11,CHINESE STUDIES UD ELECTIVE 1,,,,,,4,,,5
5,CHIN 20B (M / D / N),CHIN,20B,,,,4,,,5
12,CHINESE STUDIES UD ELECTIVE 2,,,,,,4,,,6
6,CHIN 20C (M / D / N),CHIN,20C,,,,4,,,6
13,GE / DEI,,,,,,4,,,6
14,CHINESE STUDIES UD ELECTIVE 3,,,,,,4,,,7
15,CHINESE STUDIES UD ELECTIVE 4,,,,,,4,,,7
16,CHINESE STUDIES UD ELECTIVE 5,,,,,,4,,,8
17,CHINESE STUDIES UD ELECTIVE 6,,,,,,4,,,8
18,CHINESE STUDIES COLLOQUIUM,,,,,,4,,,9
19,CHINESE STUDIES UD ELECTIVE 7,,,,,,4,,,9
20,CHINESE STUDIES UD ELECTIVE 8,,,,,,4,,,10
21,CHINESE STUDIES UD ELECTIVE 9,,,,,,4,,,10
22,CHINESE STUDIES UD ELECTIVE 10,,,,,,4,,,11
23,CHINESE STUDIES UD ELECTIVE 11,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,WCWP 10A,WCWP,10A,,,,4,,,1
24,GE 1,,,,,,4,,,1
25,GE 2,,,,,,4,,,1
8,WCWP 10B,WCWP,10B,7,,,4,,,2
26,GE 3,,,,,,4,,,2
27,GE 4,,,,,,4,,,2
9,PHIL / POLI 27,POLI,27,7;8,,,4,,,3
28,GE 5,,,,,,4,,,3
29,GE 6,,,,,,4,,,3
10,PHIL / POLI 28,POLI,28,9,,,4,,,4
30,GE 7,,,,,,4,,,4
31,GE 8,,,,,,4,,,4
32,GE 9,,,,,,4,,,5
33,GE 10,,,,,,4,,,5
34,GE 11,,,,,,4,,,6
35,GE 12,,,,,,4,,,7
36,GE 13,,,,,,4,,,7
37,ELECTIVE 1,,,,,,4,,,8
38,ELECTIVE 2,,,,,,4,,,8
39,ELECTIVE 3,,,,,,4,,,9
40,ELECTIVE 4,,,,,,1,,,9
41,ELECTIVE 5,,,,,,4,,,10
42,ELECTIVE 6,,,,,,4,,,11
43,ELECTIVE 7,,,,,,4,,,11
44,ELECTIVE 8,,,,,,4,,,12
45,ELECTIVE 9,,,,,,4,,,12
