Curriculum,"Russian, East European and Eurasian Studies",,,,,,,,,
Degree Plan,"Russian, East European and Eurasian Studies/ Muir",,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,05.0105,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LTRU 1A,LTRU,1A,,,,5,,,1
2,LTRU 1B,LTRU,1B,,,,5,,,2
3,LTRU 1C,LTRU,1C,,,,5,,,3
4,LTRU 2A,LTRU,2A,,,,5,,,4
5,LTRU 2B,LTRU,2B,,,,5,,,5
6,LTRU 2C,LTRU,2C,,,,5,,,6
8,HIEU 134,HIEU,134,,,,4,,,7
7,LTRU 104A,LTRU,104A,,,,4,,,7
10,HIEU 156,HIEU,156,,,,4,,,8
9,LTRU 104B,LTRU,104B,7,,,4,,,8
11,LTRU 104C,LTRU,104C,7,,,4,,,9
15,SOCIAL SCI ELECTIVE 1,,,,,,4,,,9
16,SOCIAL SCI ELECTIVE 2,,,,,,4,,,10
12,LTRU 110A,LTRU,110A,,,,4,,,10
13,LTRU 110B,LTRU,110B,,,,4,,,11
17,REEES UD ELECTIVE 1,,,,,,4,,,11
14,LTRU 110C,LTRU,110C,,,,4,,,12
18,REEES UD ELECTIVE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
19,GE 1,,,,,,4,,,1
20,GE 2,,,,,,4,,,1
21,GE / WRITING 1,,,,,,4,,,1
22,GE 3,,,,,,4,,,2
23,GE 4,,,,,,4,,,2
24,GE / WRITING 2,,,,,,4,,,2
25,GE 5,,,,,,4,,,3
26,GE 6,,,,,,4,,,3
27,ELECTIVE 1,,,,,,4,,,3
28,GE 7,,,,,,4,,,4
29,ELECTIVE 2,,,,,,4,,,4
30,GE 8,,,,,,4,,,4
31,ELECTIVE 3,,,,,,4,,,5
32,ELECTIVE 4,,,,,,4,,,5
33,GE 9,,,,,,4,,,5
34,ELECTIVE 5,,,,,,4,,,6
35,ELECTIVE 6,,,,,,4,,,6
36,DEI,,,,,,4,,,6
37,ELECTIVE 7,,,,,,4,,,7
38,MUIR UDE 1,,,,,,4,,,7
39,MUIR UDE 2,,,,,,4,,,8
40,ELECTIVE 8,,,,,,2,,,8
41,MUIR UDE 3,,,,,,4,,,9
42,ELECTIVE 9,,,,,,4,,,10
43,ELECTIVE 10,,,,,,4,,,11
44,ELECTIVE 11,,,,,,4,,,12
