Curriculum,Chemistry,,,,,,,,,
Degree Plan,Chemistry/ Eighth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0501,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,CHEM 6B,CHEM,6B,2;1,,,4,,,2
6,MATH 20C,MATH,20C,3,,,4,,,3
7,CHEM 6C,CHEM,6C,4,,,4,,,3
5,CHEM 7LM / 7L,CHEM,7LM,4,,,4,,,3
9,MATH 18,MATH,18,,,,4,,,4
8,CHEM 41A,CHEM,41A,4,,,4,,,4
10,PHYS 2A,PHYS,2A,1;1,,,4,,,4
11,CHEM 41B,CHEM,41B,8,,,4,,,5
12,CHEM 43A,CHEM,43A,5;8,,,4,,,5
13,PHYS 2B,PHYS,2B,10;3,,,4,,,5
14,MATH 20D,MATH,20D,6;9,,,4,,,6
17,CHEM 41C,CHEM,41C,11,,,4,,,6
15,PHYS 2C / 2D,PHYS,2C,10;6,,,4,,,6
16,PHYS 2BL / 2CL,PHYS,2BL,10,,,2,,,6
18,CHEM 100A,CHEM,100A,7;5,,,4,,,7
19,CHEM 130,CHEM,130,7;15;14,,,4,,,7
22,CHEM 120A,CHEM,120A,7;8,,,4,,,8
20,CHEM 131,CHEM,131,7;15;6,,,4,,,8
21,CHEM 143B,CHEM,143B,12;11,,,4,,,8
24,CHEM 105A,CHEM,105A,18;16;19,,,4,,,9
23,CHEM 120B,CHEM,120B,22,,,4,,,9
25,CHEM 132,CHEM,132,19;20,,,4,,,9
26,CHEM 114A,CHEM,114A,8,,,4,,,10
31,CHEM ELECTIVE LAB 1,,,,,,4,,,10
32,CHEM ELECTIVE LAB 2,,,,,,4,,,11
33,CHEM ELECTIVE 1,,,,,,4,,,11
34,CHEM ELECTIVE 2,,,,,,4,,,12
35,CHEM ELECTIVE 3,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
36,BREADTH GE 1,,,,,,4,,,1
37,DEI,,,,,,4,,,1
27,CCE 1,CCE,1,,,,4,,,2
38,BREADTH GE 2,,,,,,4,,,2
39,ELECTIVE 1,,,,,,2,,,3
28,CCE 2,CCE,2,27,,,4,,,4
40,JTCCER,,,,,,4,,,5
29,CCE 3,CCE,3,28,,,4,,,6
41,BREADTH GE 3,,,,,,4,,,7
42,BREADTH GE 4,,,,,,4,,,7
43,BREADTH GE 5,,,,,,4,,,8
30,CCE 120,CCE,120,29,,,4,,,9
44,BREADTH GE 6,,,,,,4,,,10
45,ELECTIVE 2,,,,,,4,,,11
46,ELECTIVE 3,,,,,,4,,,12
