Curriculum,
Degree Plan,/ ERC
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,19.0701
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
13,LD FORMAL SKILLS,,,,,,4,,,1
14,LD SOC SCI 1,,,,,,4,,,1
15,LD BIOLOGY SCI 1,,,,,,4,,,2
16,LD SOC SCI 2,,,,,,4,,,2
17,LD BIOLOGY SCI 2,,,,,,4,,,3
18,LD STATISTICS,,,,,,4,,,3
1,HDP 1,HDP,1,,,,4,,,4
19,HDP CORE 1,,,,,,4,,,5
20,HDP CORE 2,,,,,,4,,,5
21,HDP CORE 3,,,,,,4,,,6
22,HDP CORE 4,,,,,,4,,,6
23,DEVELOPMENT 1,,,,,,4,,,7
24,DEVELOPMENT 2,,,,,,4,,,7
2,HDP 181,HDP,181,1,,,6,,,8
25,DEVELOPMENT 3,,,,,,4,,,8
3,HDP 191,HDP,191,1;2,,,6,,,9
26,DEVELOPMENT 4,,,,,,4,,,9
4,HDP 194A,HDP,194A,,,,4,,,10
27,DEVELOPMENT 5,,,,,,4,,,10
5,HDP 194B,HDP,194B,,,,4,,,11
28,HONORS METHODS,,,,,,4,,,11
6,HDP 150,HDP,150,2,,,4,,,12
7,HDP 194C,HDP,194C,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
8,MMW 11,MMW,11,,,,4,,,1
29,GE 1,,,,,,4,,,1
9,MMW 12,MMW,12,,,,6,,,2
30,GE 2,,,,,,4,,,2
10,MMW 13,MMW,13,,,,6,,,3
31,GE 3,,,,,,4,,,3
32,GE 4,,,,,,4,,,4
11,MMW 14 / GE 1,MMW,14,9;10,,,4,,,4
33,GE / DEI,,,,,,4,,,4
34,GE 5,,,,,,4,,,5
35,MMW 14 / GE 2,MMW,14,9;10,,,4,,,5
36,GE 6,,,,,,4,,,6
12,MMW 15,MMW,15,9;10,,,4,,,6
37,GE 7,,,,,,4,,,7
38,ELECTIVE 1,,,,,,4,,,7
39,ELECTIVE 2,,,,,,4,,,8
40,ELECTIVE 3,,,,,,4,,,9
41,ELECTIVE 4,,,,,,4,,,10
42,ELECTIVE 5,,,,,,4,,,11
43,ELECTIVE 6,,,,,,4,,,12
