Curriculum,Italian Studies
Degree Plan,Italian Studies/ Muir
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,05.0126
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LIIT 1AX,LIIT,1AX,,,,2.5,,,1
2,LIIT 1A,LIIT,1A,,,,2.5,,,1
3,LIIT 1B,LIIT,1B,2;1,,,2.5,,,2
4,LIIT 1BX,LIIT,1BX,2;1,,,2.5,,,2
5,LIIT 1C,LIIT,1C,3;4,,,2.5,,,3
6,LIIT 1CX,LIIT,1CX,3;4,,,2.5,,,3
7,LTIT 2A,LTIT,2A,5;6,,,5,,,4
8,LTIT 2B,LTIT,2B,7,,,5,,,5
9,LTIT 50,LTIT,50,,,,4,,,6
10,IS DEPT 1,,,,,,4,,,7
11,IS UD ELECTIVE 1,,,,,,4,,,7
12,IS DEPT 2,,,,,,4,,,8
13,IS UD ELECTIVE 2,,,,,,4,,,8
14,IS DEPT 3,,,,,,4,,,9
15,IS UD ELECTIVE 3,,,,,,4,,,9
16,IS UD ELECTIVE 4,,,,,,4,,,10
17,IS UD ELECTIVE 5,,,,,,4,,,10
18,IS UD ELECTIVE 6,,,,,,4,,,11
19,IS UD ELECTIVE 7,,,,,,4,,,11
20,IS UD ELECTIVE 8,,,,,,4,,,12
21,IS UD ELECTIVE 9,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
22,MUIR WRITING / GE 1,,,,,,4,,,1
23,GE 1,,,,,,4,,,1
24,GE 2,,,,,,4,,,1
25,MUIR WRITING / GE 2,,,,,,4,,,2
26,GE 3,,,,,,4,,,2
27,GE 4,,,,,,4,,,2
28,GE 5,,,,,,4,,,3
29,GE 6,,,,,,4,,,3
30,GE 7,,,,,,4,,,4
31,DEI,,,,,,4,,,4
32,ELECTIVE 1,,,,,,4,,,4
33,GE 8,,,,,,4,,,5
34,ELECTIVE 2,,,,,,4,,,5
35,ELECTIVE 3,,,,,,4,,,5
36,GE 9,,,,,,4,,,6
37,ELECTIVE 4,,,,,,4,,,6
38,ELECTIVE 5,,,,,,4,,,6
39,MUIR UD ELECTIVE 1,,,,,,4,,,7
40,ELECTIVE 6,,,,,,4,,,7
41,MUIR UD ELECTIVE 2,,,,,,4,,,8
42,ELECTIVE 7,,,,,,3,,,8
43,MUIR UD ELECTIVE 3,,,,,,4,,,9
44,ELECTIVE 8,,,,,,4,,,9
45,ELECTIVE 9,,,,,,4,,,10
46,ELECTIVE 10,,,,,,4,,,11
47,ELECTIVE 11,,,,,,4,,,12
