Curriculum,International Studies-History,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BA,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,30.2001,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
3,LANGUAGE 1,,,,,,5,,
4,LANGUAGE 2,,,,,,5,,
5,LANGUAGE 3,,,,,,5,,
6,LANGUAGE 4,,,,,,5,,
1,INTL 101 / 102 1,INTL,101,,,,4,,
7,INTL 101 / 102 2,INTL,101,,,,4,,
8,EAP / OAP (RECOMMENDED),,,,,,16,,
9,DF1 - HISTORY,,,,,,4,,
10,IE1 - INTERDISC ELECTIVE (RR1),,,,,,4,,
11,DF2 - HISTORY,,,,,,4,,
12,DF3 - HISTORY (RR2),,,,,,4,,
13,IE2 - INTERDISC ELECTIVE,,,,,,4,,
14,DF4 - HISTORY (RR3),,,,,,4,,
15,DF5 - HISTORY,,,,,,4,,
16,IE3 - INTERDISC ELECTIVE,,,,,,4,,
2,INTL 190,INTL,190,1,,,4,,
17,DF6 - HISTORY,,,,,,4,,
18,DF7 - HISTORY,,,,,,4,,
19,DF8 - HISTORY,,,,,,4,,
