Curriculum,Mathematics,,,,,,,,,
Degree Plan,Mathematics/ Warren,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,27.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,MATH 20B,MATH,20B,1,,,4,,,2
3,MATH 18,MATH,18,,,,4,,,2
4,MATH 20C,MATH,20C,2,,,4,,,3
5,MATH 20D / MATH 109 1,MATH,20D,4;3,,,4,,,4
11,MATH 20D / MATH 109 2,MATH,20D,4,,,4,,,5
12,GE / CCER,,,,,,4,,,5
6,MATH 20E,MATH,20E,3;4,,,4,,,6
13,GE / DEI,,,,,,4,,,6
14,UD MAJOR 1,,,,,,4,,,7
15,UD MAJOR 2,,,,,,4,,,7
16,UD MAJOR 3,,,,,,4,,,8
17,UD MAJOR 4,,,,,,4,,,8
18,UD MAJOR 5,,,,,,4,,,9
19,UD MAJOR 6,,,,,,4,,,9
20,UD MAJOR 7,,,,,,4,,,10
21,UD MAJOR 8,,,,,,4,,,10
22,UD MAJOR 9,,,,,,4,,,11
23,UD MAJOR 10,,,,,,4,,,11
24,UD MAJOR 11,,,,,,4,,,12
25,UD MAJOR 12,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,WCWP 10A,WCWP,10A,,,,4,,,1
26,GE 1,,,,,,4,,,1
27,GE 2,,,,,,4,,,1
8,WCWP 10B,WCWP,10B,7,,,4,,,2
28,ELECTIVE 1,,,,,,4,,,2
9,PHIL / POLI 27,POLI,27,7;8,,,4,,,3
29,GE 3,,,,,,4,,,3
30,ELECTIVE 2,,,,,,4,,,3
10,PHIL / POLI 28,POLI,28,9,,,4,,,4
31,GE 4,,,,,,4,,,4
32,ELECTIVE 3,,,,,,4,,,4
33,ELECTIVE 4,,,,,,4,,,5
34,ELECTIVE 5,,,,,,4,,,5
35,GE 5,,,,,,4,,,6
36,ELECTIVE 6,,,,,,4,,,6
37,GE 6,,,,,,4,,,7
38,ELECTIVE 7,,,,,,4,,,7
39,GE 7,,,,,,4,,,8
40,GE 8,,,,,,4,,,8
41,GE 9,,,,,,4,,,9
42,GE 10,,,,,,4,,,9
43,UD ELECTIVE 1,,,,,,4,,,10
44,UD ELECTIVE 2,,,,,,4,,,11
45,ELECTIVE 8,,,,,,4,,,12
