Curriculum,Chemistry,,,,,,,,,
Degree Plan,Chemistry/ Marshall,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0501,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,CHEM 6B,CHEM,6B,2;1,,,4,,,2
5,MATH 20C,MATH,20C,3,,,4,,,3
6,CHEM 6C,CHEM,6C,4,,,4,,,3
7,CHEM 7LM / 7L,CHEM,7LM,4,,,4,,,3
8,CHEM 40A,CHEM,40A,4,,,4,,,4
9,PHYS 2A,PHYS,2A,1,,,4,,,4
10,MATH 20D,MATH,20D,5,,,4,,,4
11,CHEM 40B,CHEM,40B,8,,,4,,,5
12,PHYS 2B,PHYS,2B,9;1;3,,,4,,,5
13,CHEM 43AM / 43A,CHEM,43AM,7;8,,,4,,,5
14,CHEM 40C,CHEM,40C,11,,,4,,,6
15,PHYS 2C / 2D,PHYS,2C,9;1;3;5,,,4,,,6
16,CHEM 143B,CHEM,143B,13;11,,,4,,,6
17,CHEM 120A,CHEM,120A,6;8,,,4,,,7
18,CHEM 130,CHEM,130,6;15;10,,,4,,,7
19,CHEM 100A,CHEM,100A,6,,,4,,,7
20,CHEM 120B,CHEM,120B,17,,,4,,,8
21,CHEM 131,CHEM,131,6;15;5,,,4,,,8
22,PHYS 2CL,PHYS,2CL,9;12,,,2,,,8
23,CHEM 105A,CHEM,105A,19;22;21,,,4,,,9
24,CHEM 132,CHEM,132,18;21,,,4,,,9
29,CHEM ELECTIVE LAB 1,,,,,,4,,,10
25,CHEM 114A,CHEM,114A,8,,,4,,,10
30,CHEM ELECTIVE LAB 2,,,,,,4,,,11
31,CHEM ELECTIVE 1,,,,,,4,,,11
32,CHEM ELECTIVE 2,,,,,,4,,,12
33,CHEM ELECTIVE 3,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
26,DOC 1 / DEI,DOC,1,,,,4,,,1
34,GE 1,,,,,,4,,,1
27,DOC 2,DOC,2,26,,,6,,,2
35,GE 2,,,,,,4,,,2
28,DOC 3,DOC,3,,,,6,,,3
36,GE 3,,,,,,4,,,4
37,GE 4,,,,,,4,,,5
38,GE 5,,,,,,4,,,6
39,GE 6,,,,,,4,,,7
40,UD GE 1,,,,,,4,,,8
41,UD GE 2,,,,,,4,,,9
42,ELECTIVE 1,,,,,,2,,,9
43,ELECTIVE 2,,,,,,4,,,10
44,ELECTIVE 3,,,,,,4,,,11
45,ELECTIVE 4,,,,,,4,,,12
