Curriculum,U.S. Latino/a and Latin American Literatures,,,,,,,,,
Degree Plan,U.S. Latino/a and Latin American Literatures/ Marshall,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,16.0908,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LISP 1A,LISP,1A,,,,2.5,,,1
2,LISP 1AX,LISP,1AX,,,,2.5,,,1
3,LISP 1B,LISP,1B,1;2,,,2.5,,,2
4,LISP 1BX,LISP,1BX,1;2,,,2.5,,,2
5,LISP 1C,LISP,1C,3;4,,,2.5,,,3
6,LISP 1CX,LISP,1CX,3;4,,,2.5,,,3
7,LTSP 2A,LTSP,2A,5;6,,,5,,,4
8,LTEN 29 / TWS 22,LTEN,29,,,,4,,,4
9,LTSP 2B,LTSP,2B,7,,,5,,,5
10,LTSP 2C,LTSP,2C,9,,,4,,,6
15,UD LTAM 1,,,,,,4,,,7
16,UD LTAM 2,,,,,,4,,,7
17,UD LTAM 3,,,,,,4,,,8
11,LTSP 50B / LTSP 50C,LTSP,50B,10,,,4,,,8
18,UD PRE - 1900 LTSP,,,,,,4,,,9
19,UD LTSP 1,,,,,,4,,,9
20,UD LTSP 2,,,,,,4,,,10
21,UD LTAM 4,,,,,,4,,,10
22,UD LTSP 3,,,,,,4,,,10
23,UD LTSP 4,,,,,,4,,,11
24,UD LTAM 5,,,,,,4,,,11
25,UD LIT ELECTIVE 1,,,,,,4,,,12
26,UD LIT ELECTIVE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
12,DOC 1 / DEI,DOC,1,,,,4,,,1
27,GE 1,,,,,,4,,,1
28,GE 2,,,,,,4,,,1
13,DOC 2,DOC,2,12,,,6,,,2
29,GE 3,,,,,,4,,,2
30,GE 4,,,,,,4,,,2
14,DOC 3,DOC,3,,,,6,,,3
31,GE 5,,,,,,4,,,3
32,GE 6,,,,,,4,,,3
33,GE 7,,,,,,4,,,4
34,ELECTIVE 1,,,,,,4,,,4
35,GE 8,,,,,,4,,,5
36,ELECTIVE 2,,,,,,4,,,5
37,ELECTIVE 3,,,,,,4,,,5
38,GE 9,,,,,,4,,,6
39,ELECTIVE 4,,,,,,4,,,6
40,ELECTIVE 5,,,,,,4,,,6
41,ELECTIVE 6,,,,,,4,,,7
42,ELECTIVE 7,,,,,,3,,,7
43,ELECTIVE 8,,,,,,4,,,8
44,UD GE 1,,,,,,4,,,9
45,UD GE 2,,,,,,4,,,11
46,UD ELECTIVE,,,,,,4,,,12
