Curriculum,Environmental Chemistry,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,40.0599,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 20A,MATH,20A,,,,4,,
2,CHEM 6A,CHEM,6A,,,,4,,
3,MATH 20B,MATH,20B,1,,,4,,
4,CHEM 6B,CHEM,6B,2;1,,,4,,
5,PHYS 2A,PHYS,2A,1,,,4,,
6,MATH 20C,MATH,20C,3,,,4,,
7,CHEM 6C,CHEM,6C,4,,,4,,
8,CHEM 7LM,CHEM,7LM,4,,,4,,
9,CHEM 140A,CHEM,140A,4,,,4,,
10,CHEM 100A,CHEM,100A,7,,,4,,
11,MATH 20D,MATH,20D,6,,,4,,
12,CHEM 140B,CHEM,140B,9,,,4,,
13,CHEM 143A,CHEM,143A,9,,,4,,
14,PHYS 2B,PHYS,2B,5;3,,,4,,
15,PHYS 2C / 2D,PHYS,2C,5;14;6,,,4,,
16,PHYS 2CL,PHYS,2CL,14;5,,,2,,
17,CHEM 130,CHEM,130,7;15;11,,,4,,
18,CHEM 171,CHEM,171,7,,,4,,
26,CHEM ELECTIVE 1,,,,,,4,,
19,CHEM 131,CHEM,131,7;15;6,,,4,,
20,CHEM 172,CHEM,172,7,,,4,,
27,CHEM ELECTIVE 2,,,,,,4,,
21,CHEM 132,CHEM,132,17;19,,,4,,
22,CHEM 173,CHEM,173,7,,,4,,
28,CHEM ELECTIVE 3,,,,,,4,,
23,CHEM 105A,CHEM,105A,10;16;19,,,4,,
24,CHEM 100B,CHEM,100B,10;15;16,,,5,,
25,CHEM 174,CHEM,174,7,,,4,,
29,CHEM ELECTIVE 4,,,,,,4,,
