Curriculum,Molecular Synthesis,,,,,,,,,
Degree Plan,Molecular Synthesis/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0599,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,MATH 20A,MATH,20A,,,,4,,,1
1,CHEM 6A,CHEM,6A,,,,4,,,1
4,MATH 20B,MATH,20B,2,,,4,,,2
3,CHEM 6B,CHEM,6B,1;2,,,4,,,2
7,MATH 20C,MATH,20C,4,,,4,,,3
5,CHEM 6C,CHEM,6C,3,,,4,,,3
6,CHEM 7LM / 7L,CHEM,7LM,3,,,4,,,3
8,CHEM 41A,CHEM,41A,3,,,4,,,4
9,PHYS 2A,PHYS,2A,2;2,,,4,,,4
11,CHEM 41B,CHEM,41B,8,,,4,,,5
12,CHEM 43A,CHEM,43A,6;8,,,4,,,5
13,PHYS 2B,PHYS,2B,9;4,,,4,,,5
15,CHEM 41C,CHEM,41C,11,,,4,,,6
14,PHYS 2C / 2D,PHYS,2C,9;7,,,4,,,6
16,PHYS 2BL / 2CL,PHYS,2BL,9,,,2,,,6
35,MATH 20D,MATH,20D,7;10,,,4,,,6
17,CHEM 100A,CHEM,100A,5;6,,,4,,,7
18,CHEM 114A,CHEM,114A,8,,,4,,,7
19,CHEM 120A,CHEM,120A,5;8,,,4,,,8
20,CHEM 143B,CHEM,143B,12;11,,,4,,,8
21,CHEM 120B,CHEM,120B,19,,,4,,,9
22,CHEM 156,CHEM,156,15;19,,,4,,,9
24,CHEM 126A,CHEM,126A,5;14;7,,,4,,,10
23,CHEM 152,CHEM,152,15,,,4,,,10
25,CHEM 143C,CHEM,143C,12;11,,,4,,,10
26,CHEM 126B,CHEM,126B,24,,,4,,,11
27,CHEM 105A,CHEM,105A,17;16;24,,,4,,,11
36,MOLECULAR SYNTHESIS ELECTIVE,,,,,,4,,,11
29,CHEM 123,CHEM,123,19;12;21,,,4,,,12
28,CHEM 157,CHEM,157,15,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
30,MMW 11,MMW,11,,,,4,,,1
37,GE 1,,,,,,4,,,1
31,MMW 12,MMW,12,,,,6,,,2
38,GE 2,,,,,,4,,,2
32,MMW 13,MMW,13,31,,,6,,,3
33,MMW 14 / GE 1,MMW,14,31;32,,,4,,,4
10,MATH 18,MATH,18,,,,4,,,4
39,MMW 14 / GE 2,MMW,14,31;32,,,4,,,5
34,MMW 15,MMW,15,31;32,,,4,,,6
40,GE 3,,,,,,4,,,7
41,GE 4,,,,,,4,,,7
42,GE 5,,,,,,4,,,8
43,GE 6,,,,,,4,,,9
44,DEI,,,,,,4,,,10
45,ELECTIVE,,,,,,2,,,11
46,GE 7,,,,,,4,,,12
