Curriculum,Anthropology (Concentration in Sociocultural Anthropology)
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,45.0201
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,ANTH 101: FOUNDATIONS OF SOCIAL COMPLEXITY,ANTH,101,,,,4,,
4,ANSC CONC ELECTIVE 1,,,,,,4,,
2,ANTH 102: HUMAN ARE CULTURED ANIMALS,ANTH,102,,,,4,,
5,ANSC CONC ELECTIVE 2,,,,,,4,,
3,ANTH 103: SOCIOCULTURAL ANTHRO,ANTH,103,,,,4,,
6,ANSC CONC ELECTIVE 3,,,,,,4,,
7,ANTH UD ELECTIVE 1,,,,,,4,,
8,ANSC CONC ELECTIVE 4,,,,,,4,,
9,ANTH UD ELECTIVE 2,,,,,,4,,
10,ANTH UD ELECTIVE 3,,,,,,4,,
11,ANTH UD ELECTIVE 4,,,,,,4,,
12,ANTH UD ELECTIVE 5,,,,,,4,,
