Curriculum,Italian Literature
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,16.0902
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,LIIT 1A,LIIT,1A,,,,2.5,,
2,LIIT 1AX,LIIT,1AX,,,,2.5,,
3,LIIT 1B,LIIT,1B,1;2,,,2.5,,
4,LIIT 1BX,LIIT,1BX,1;2,,,2.5,,
5,LIIT 1C,LIIT,1C,3;4,,,2.5,,
6,LIIT 1CX,LIIT,1CX,3;4,,,2.5,,
7,LTIT 2A,LTIT,2A,5;6,,,5,,
13,LD LTEN,,,,,,4,,
8,LTIT 2B,LTIT,2B,7,,,5,,
9,LTIT 50,LTIT,50,,,,4,,
10,LTIT 100,LTIT,100,9,,,4,,
14,UD LITERATURE ELECTIVE 1,,,,,,4,,
11,LTIT 115,LTIT,115,,,,4,,
15,UD LTIT 1,,,,,,4,,
12,LTIT 161,LTIT,161,10,,,4,,
16,UD LTIT 2,,,,,,4,,
17,UD LTIT 3,,,,,,4,,
18,UD LTIT 4,,,,,,4,,
19,UD LTIT 5,,,,,,4,,
20,UD LITERATURE ELECTIVE 2,,,,,,4,,
21,UD LTIT 6,,,,,,4,,
22,UD LITERATURE ELECTIVE 3,,,,,,4,,
