Curriculum,Anthropology (Concentration in Biological Anthropology),,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BA,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,45.0299,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
4,ANTH BIOLOGY ELECTIVE PREREQ,,,,,,4,,
1,ANTH 101: FOUNDATIONS OF SOCIAL COMPLEXITY,ANTH,101,,,,4,,
5,ANBI CONC ELECTIVE 1,,,,,,4,,
2,ANTH 102: HUMAN ARE CULTURED ANIMALS,ANTH,102,,,,4,,
6,ANBI CONC ELECTIVE 2,,,,,,4,,
7,ANBI CONC ELECTIVE 3,,,,,,4,,
3,ANTH 103: SOCIOCULTURAL ANTHRO,ANTH,103,,,,4,,
8,ANTH BIOLOGY ELECTIVE,,,,,,4,,
9,ANBI CONC ELECTIVE 4,,,,,,4,,
10,ANTH UD ELECTIVE 1,,,,,,4,,
11,ANTH UD ELECTIVE 2,,,,,,4,,
12,ANTH UD ELECTIVE 3,,,,,,4,,
13,ANTH UD ELECTIVE 4,,,,,,4,,
