Curriculum,Electrical Engineering & Society,,,,,,,,,
Degree Plan,Electrical Engineering & Society/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,14.1001,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
3,CHEM 6A,CHEM,6A,,,,4,,,1
2,ECE 15,ECE,15,,,,4,,,1
4,MATH 20B,MATH,20B,1,,,4,,,2
6,PHYS 2A,PHYS,2A,1,,,4,,,2
5,ECE 25,ECE,25,,,,4,,,2
8,ECE 35,ECE,35,1;4;6,,,4,,,3
9,PHYS 2B,PHYS,2B,6;4,,,4,,,3
7,MATH 20C,MATH,20C,4,,,4,,,3
11,MATH 20D,MATH,20D,7,,,4,,,4
12,PHYS 2C,PHYS,2C,6;1;4;7,,,4,,,4
10,ECE 30,ECE,30,2;5,,,4,,,4
14,MATH 20E,MATH,20E,7,,,4,,,5
15,PHYS 2D,PHYS,2D,6;9;11,,,4,,,5
13,ECE 45,ECE,45,8,,,4,,,5
28,S / H ELECTIVE 1,,,,,,4,,,5
29,S / H ELECTIVE 2,,,,,,4,,,6
16,ECE 65,ECE,65,8,,,4,,,6
17,MATH 20F,MATH,20F,7,,,4,,,6
18,ECE 101 1,ECE,101,13,,,4,,,7
20,ECE 103,ECE,103,16;15;15,,,4,,,7
19,ECE 100,ECE,100,13;16,,,4,,,7
21,ECE 102,ECE,102,16;19,,,4,,,8
22,ECE 107,ECE,107,6;9;12;15;13,,,4,,,8
23,ECE 109,ECE,109,1;4;7;11;17,,,4,,,8
30,ELECTIVE 1,,,,,,4,,,9
31,DEPTH 2,,,,,,4,,,9
32,DEPTH 1,,,,,,4,,,9
33,ELECTIVE 2,,,,,,4,,,10
34,DEPTH 4,,,,,,4,,,10
35,DEPTH 3,,,,,,4,,,10
36,DESIGN,,,,,,4,,,11
37,DEPTH 5,,,,,,4,,,11
38,ELECTIVE 3,,,,,,4,,,11
39,DEPTH 6,,,,,,4,,,12
40,ELECTIVE 4,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
24,CAT 1,CAT,1,,,,4,,,1
25,CAT 2,CAT,2,24,,,6,,,2
26,CAT 3,CAT,3,25,,,6,,,3
41,GE / DEI,,,,,,4,,,4
42,GE 1,,,,,,4,,,6
43,GE 2,,,,,,4,,,7
44,ECE 101 2,ECE,101,13,,,4,,,8
27,CAT 125,CAT,125,,,,4,,,9
45,GE 3,,,,,,4,,,10
46,GE 4,,,,,,4,,,12
47,GE 5,,,,,,4,,,12
