Curriculum,Probability & Statistics,,,,,,,,,
Degree Plan,Probability & Statistics/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,27.0599,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,MATH 18,MATH,18,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,MATH 20C,MATH,20C,3,,,4,,,3
5,MATH 109,MATH,109,2;4,,,4,,,4
6,CSE 11,CSE,11,,,,4,,,4
7,MATH 20D,MATH,20D,4,,,4,,,5
8,MATH 20E,MATH,20E,2;4,,,4,,,6
20,UD MAJOR 1,,,,,,4,,,6
9,MATH 180A,MATH,180A,4,,,4,,,7
21,UD MAJOR 2,,,,,,4,,,7
10,MATH 181A,MATH,181A,9;2;4,,,4,,,8
11,MATH 180B,MATH,180B,7;2;5;9,,,4,,,8
12,MATH 181B,MATH,181B,10,,,4,,,9
13,MATH 180C,MATH,180C,11,,,4,,,9
14,MATH 181C / 181E,MATH,181C,12,,,4,,,10
22,UD MAJOR 3,,,,,,4,,,10
23,UD MAJOR 4,,,,,,4,,,11
24,UD MAJOR 5,,,,,,4,,,11
25,UD MAJOR 6,,,,,,4,,,12
26,UD MAJOR 7,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
15,MMW 11,MMW,11,,,,4,,,1
27,GE 1,,,,,,4,,,1
16,MMW 12,MMW,12,,,,6,,,2
28,GE 2,,,,,,4,,,2
17,MMW 13,MMW,13,16,,,6,,,3
29,GE 3,,,,,,4,,,3
18,MMW 14 / GE 1,MMW,14,16;17,,,4,,,4
30,GE / DEI,,,,,,4,,,4
31,MMW 14 / GE 2,MMW,14,16;17,,,4,,,5
32,GE 4,,,,,,4,,,5
19,MMW 15,MMW,15,16;17,,,4,,,6
33,ELECTIVE 1,,,,,,4,,,6
34,ELECTIVE 2,,,,,,4,,,7
35,GE 5,,,,,,4,,,7
36,ELECTIVE 3,,,,,,4,,,8
37,GE 6,,,,,,4,,,8
38,ELECTIVE 4,,,,,,4,,,9
39,GE 7,,,,,,4,,,9
40,ELECTIVE 5,,,,,,4,,,10
41,GE 8,,,,,,4,,,10
42,ELECTIVE 6,,,,,,4,,,11
43,ELECTIVE 7,,,,,,4,,,12
44,ELECTIVE 8,,,,,,4,,,12
