Curriculum,Spanish Literature,,,,,,,,,
Degree Plan,Spanish Literature/ Muir,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,16.0905,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,LISP 1A,LISP,1A,,,,2.5,,,1
3,LISP 1AX,LISP,1AX,,,,2.5,,,1
4,LISP 1B,LISP,1B,2;3,,,2.5,,,2
5,LISP 1BX,LISP,1BX,2;3,,,2.5,,,2
6,LISP 1C,LISP,1C,4;5,,,2.5,,,3
7,LISP 1CX,LISP,1CX,4;5,,,2.5,,,3
12,LD LTEN,,,,,,4,,,4
8,LTSP 2A,LTSP,2A,6;7,,,5,,,4
9,LTSP 2B,LTSP,2B,8,,,5,,,5
10,LTSP 2C,LTSP,2C,9,,,4,,,6
13,UD LITERATURE ELECTIVE 1,,,,,,4,,,7
11,LTSP 50A / LTSP 50B / LTSP 50C 1,LTSP,50A,10,,,4,,,7
14,UD LITERATURE ELECTIVE 2,,,,,,4,,,8
15,LTSP 50A / LTSP 50B / LTSP 50C 2,LTSP,50A,10,,,4,,,8
16,UD LTSP 1,,,,,,4,,,9
17,UD LTSP 2,,,,,,4,,,9
18,UD LITERATURE ELECTIVE 3,,,,,,4,,,9
19,UD LTSP 3,,,,,,4,,,10
20,UD LTSP 4,,,,,,4,,,10
21,UD LTSP - PRE - 1900,,,,,,4,,,10
22,UD LTSP 5,,,,,,4,,,11
23,UD LTSP 6,,,,,,4,,,11
24,UD LTSP 7,,,,,,4,,,12
25,UD LTSP 8,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
26,GE 1,,,,,,4,,,1
27,GE / WRITING 1,,,,,,4,,,1
28,GE 2,,,,,,4,,,1
29,GE 3,,,,,,4,,,2
30,GE 4,,,,,,4,,,2
31,GE / WRITING 2,,,,,,4,,,2
32,GE 5,,,,,,4,,,3
33,GE 6,,,,,,4,,,3
34,DEI,,,,,,4,,,3
35,ELECTIVE 1,,,,,,4,,,4
36,GE 7,,,,,,4,,,4
37,ELECTIVE 2,,,,,,4,,,5
38,ELECTIVE 3,,,,,,4,,,5
39,GE 8,,,,,,4,,,5
40,ELECTIVE 4,,,,,,4,,,6
41,GE 9,,,,,,4,,,6
42,ELECTIVE 5,,,,,,4,,,6
43,ELECTIVE 6,,,,,,3,,,7
44,MUIR UD ELECTIVE 1,,,,,,4,,,7
45,MUIR UD ELECTIVE 2,,,,,,4,,,8
46,MUIR UD ELECTIVE 3,,,,,,4,,,8
47,ELECTIVE 7,,,,,,4,,,11
48,ELECTIVE 8,,,,,,4,,,12
