Curriculum,Physics,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,40.0801,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 20A,MATH,20A,,,,4,,
2,CHEM 6A / PROGRAMMING,CHEM,6A,,,,4,,
3,PHYS 4A,PHYS,4A,1,,,4,,
4,MATH 20B,MATH,20B,1,,,4,,
5,PHYS 4B,PHYS,4B,3;4,,,4,,
6,MATH 20C,MATH,20C,4,,,4,,
7,PHYS 4C,PHYS,4C,3;5;6,,,4,,
8,MATH 20E,MATH,20E,6,,,4,,
9,PHYS 4D,PHYS,4D,3;5;7;8,,,4,,
10,PHYS 2CL,PHYS,2CL,7;3,,,2,,
11,MATH 20D,MATH,20D,6,,,4,,
12,PHYS 4E,PHYS,4E,3;5;7;9;8;11,,,4,,
13,PHYS 2DL,PHYS,2DL,10,,,2,,
14,MATH 20F,MATH,20F,6,,,4,,
15,PHYS 100A,PHYS,100A,3;7;5;9;1;4;6;11;8;14,,,4,,
16,PHYS 105A,PHYS,105A,7;5;9;12;1;4;6;11;8;14,,,4,,
17,PHYS 110A,PHYS,110A,3;7;5;9;1;4;6;11;8;14,,,4,,
18,PHYS 100B,PHYS,100B,15;16;1;4;6;11;8;14,,,4,,
23,PHYS ELECTIVE 1,,,,,,4,,
24,PHYS RE 1,,,,,,4,,
19,PHYS 120A,PHYS,120A,,,,4,,
20,PHYS 130A,PHYS,130A,18;17,,,4,,
21,PHYS 130B,PHYS,130B,20;18,,,4,,
22,PHYS 140A,PHYS,140A,20,,,4,,
25,PHYS ELECTIVE 2,,,,,,4,,
26,PHYS RE 2,,,,,,4,,
27,PHYS UD LAB,,,,,,4,,
28,PHYS RE 3,,,,,,4,,
