Curriculum,Visual Arts (Media)
Degree Plan,Visual Arts (Media)/ Muir
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,50.0101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
9,FOUNDATION ART MAKING,,,,,,4,,,1
10,FOUNDATION HISTORY,,,,,,4,,,1
1,VIS 11,VIS,11,,,,4,,,2
2,VIS 84,VIS,84,,,,4,,,2
3,VIS 70N,VIS,70N,,,,6,,,3
4,VIS 22,VIS,22,,,,4,,,3
6,VIS 60,VIS,60,,,,4,,,4
5,VIS 174,VIS,174,3,,,4,,,4
11,INTERMEDIATE ART MAKING 1,,,,,,4,,,5
12,HISTORY & THEORY 1,,,,,,4,,,5
13,HISTORY & THEORY 2,,,,,,4,,,6
14,INTERMEDIATE ART MAKING 2,,,,,,4,,,6
15,INTERMEDIATE ART MAKING 3,,,,,,4,,,7
16,HISTORY & THEORY 3,,,,,,4,,,7
17,INTERMEDIATE ART MAKING 4,,,,,,4,,,8
18,INTERMEDIATE INTERDISCIPLINARY,,,,,,4,,,8
19,ADVANCED ART MAKING 1,,,,,,4,,,9
20,ADVANCED ART MAKING 2,,,,,,4,,,10
21,ADVANCED ART MAKING 3,,,,,,4,,,11
22,ADVANCED INTERDISCIPLINARY,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,MCWP 40 / ELECTIVE,MCWP,40,,,,4,,,1
8,MCWP 50 / ELECTIVE,MCWP,50,7,,,4,,,2
23,GE 1,,,,,,4,,,2
24,GE 2,,,,,,4,,,3
25,GE 3,,,,,,4,,,3
26,GE 4,,,,,,4,,,4
27,GE 5,,,,,,4,,,4
28,GE 6,,,,,,4,,,5
29,GE 7,,,,,,4,,,5
30,DEI,,,,,,4,,,6
31,GE 8,,,,,,4,,,6
32,GE 9,,,,,,4,,,7
33,ELECTIVE 1,,,,,,4,,,7
34,ELECTIVE 2,,,,,,4,,,8
35,MUIR UD ELECTIVE 1,,,,,,4,,,8
36,ELECTIVE 3,,,,,,2,,,9
37,MUIR UD ELECTIVE 2,,,,,,4,,,9
38,ELECTIVE 4,,,,,,4,,,9
39,ELECTIVE 5,,,,,,4,,,10
40,ELECTIVE 6,,,,,,4,,,10
41,ELECTIVE 7,,,,,,4,,,10
42,ELECTIVE 8,,,,,,4,,,11
43,ELECTIVE 9,,,,,,4,,,11
44,ELECTIVE 10,,,,,,4,,,12
45,ELECTIVE 11,,,,,,4,,,12
