Curriculum,Physics with Specialization in Computational Physics,,,,,,,,,
Degree Plan,Physics with Specialization in Computational Physics/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0899,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
32,PROGRAMMING,,,,,,4,,,1
4,MATH 20B,MATH,20B,1,,,4,,,2
3,PHYS 4A,PHYS,4A,1,,,4,,,2
5,MATH 20C,MATH,20C,4,,,4,,,3
6,PHYS 4B,PHYS,4B,3;4,,,4,,,3
7,MATH 18,MATH,18,,,,4,,,3
8,MATH 20E,MATH,20E,7;5,,,4,,,4
9,PHYS 4C,PHYS,4C,3;6;5;7,,,4,,,4
10,MATH 20D,MATH,20D,5,,,4,,,5
11,PHYS 4D,PHYS,4D,3;6;9;1;4;5;8;7,,,4,,,5
12,PHYS 2CL,PHYS,2CL,3;9,,,2,,,5
13,PHYS 2DL,PHYS,2DL,12,,,2,,,6
14,PHYS 4E,PHYS,4E,3;6;9;11;1;4;5;10;8;7,,,4,,,6
17,PHYS 100A,PHYS,100A,3;9;6;11;1;4;5;10;8;7,,,4,,,7
16,PHYS 105A,PHYS,105A,9;6;11;14;1;4;5;10;8;7,,,4,,,7
15,PHYS 110A,PHYS,110A,3;9;6;11;1;4;5;10;8;7,,,4,,,7
33,PHYS RE 1,,,,,,4,,,8
18,PHYS 100B,PHYS,100B,17;1;4;5;10;8;7,,,4,,,8
19,PHYS 105B,PHYS,105B,16;1;4;5;10;8;7,,,4,,,8
34,SOCIAL SCIENCE,,,,,,4,,,8
20,PHYS 130A,PHYS,130A,14;17;15,,,4,,,9
21,PHYS 120,PHYS,120,3;9;6;12,,,5,,,9
35,PHYS RE 2,,,,,,4,,,9
36,PHYS RE 3,,,,,,4,,,10
22,PHYS 140A,PHYS,140A,20,,,4,,,10
23,PHYS 130B,PHYS,130B,20;18,,,4,,,10
37,PHYS RE 4,,,,,,4,,,11
24,PHYS 141,PHYS,141,,,,4,,,11
25,PHYS 124,PHYS,124,21,,,4,,,11
26,PHYS 142,PHYS,142,,,,4,,,12
38,PHYS RE 5,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
27,HUM 1,HUM,1,,,,6,,,2
28,HUM 2,HUM,2,,,,6,,,3
29,HUM 3,HUM,3,,,,4,,,4
39,LANGUAGE 1,,,,,,5,,,4
30,HUM 4,HUM,4,,,,4,,,5
40,LANGUAGE 2,,,,,,5,,,5
31,HUM 5,HUM,5,,,,4,,,6
41,LANGUAGE 3,,,,,,5,,,6
42,LANGUAGE 4,,,,,,5,,,7
43,BIOLOGY GE,,,,,,4,,,9
44,DEI / SOCIAL SCIENCE,,,,,,4,,,10
45,FINE ARTS,,,,,,4,,,12
